company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Fredblad Arkitekter Aktiebolag,5565005492,7,53,Jönsson; Stig Leif,4,5,Fredblad Arkitekter Aktiebolag|Halmstad Golf Arena AB|Fredblad Arkitekter Intressenter AB|Elva i Halmstad AB
Lerbergs Entreprenad AB,5565955944,2,53,Berntsson; Tommy Sigvard,8,5,Kungsbacka Lastbilcentral AB|VIAVEST AB|Viavest Maskin AB|Lerbergs Entreprenad AB|SL Entreprenad i Väst AB|Kungsbacka Lastbilcentral Fastighets              Aktiebolag|Transportcentrum i Kungsbacka AB|Kungsbacka Lastbilscentral Ekonomisk förening
Slöinge Elektriska AB,5567142988,3,42,Ragneman; Paul Anders,4,5,Ragneman Förvaltning AB|El Aktiebolaget Johansson och Sparf|Slöinge Elektriska AB|Ragneman Fastighets AB
Slöinge Elektriska AB,5567142988,3,42,Flor‚n; Kim Göran,2,5,El Aktiebolaget Johansson och Sparf|Slöinge Elektriska AB
Sandéns Golv i Halmstad AB,5591278428,4,45,Hansson; Magnus,4,4,Sandéns Golv i Ängelholm AB|Sandéns Golv i Halmstad AB|Etagon AB|SH Design och Bygg AB
Svenska Connected Wind Services AB,5567385009,3,50,Sjölin; Torbjörn Kurt Anders,2,13,EnBW Sverige AB|Svenska Connected Wind Services AB
Kungsbacka Tak & Bygg AB,5568634116,2,47,Sopp; Brian William,7,13,Grundia AB|Kungsbacka Tak & Bygg AB|Gottskärs Plåtslageri AB|Cairy AB|Djingis & Ninja Turnaround Management AB|Grundia Fastigheter AB|Kungstak Sverige AB
Trädgårdsanläggningar Harry Johnson AB,5591406896,2,51,Johnsson; Rickard Valdemar,3,2,S.T.A.F:s Service Aktiebolag|Trädgårdsanläggningar Harry Johnson AB|RV Johnsson Förvaltning AB
Ventilationsservice Magnus Kristiansson           Aktiebolag,5562565449,3,51,Magnusdotter Fredriksson; Åsa C,3,5,Magnus Kristiansson Holding Aktiebolag|Ventilationsservice Magnus Kristiansson           Aktiebolag|ÅMK Holding AB
Scantec Entreprenad AB,5567104483,3,49,Amanatidis; Ioannis,1,3,Scantec Entreprenad AB
Protectum AB,5569271967,8,46,Westerbacka; Tony Mikael,5,4,Protectum AB|Låsservice i Varberg AB|Blue Man Säkerhet AB|MC Pro Säkerhet AB|WE Security AB
Brion Teknik AB,5591183461,4,43,Friberg; Johan Hans Allan,3,4,Brion Solenergi AB|Brion Teknik Fyrbodal AB|Brion Teknik AB
Walter Hansson Handel & Service AB,5567629166,4,57,Andersson; Hans Folke,1,0,Walter Hansson Handel & Service AB
Mätkungen AB,5568284938,3,48,Andersson; Hans Peter,4,3,Mätkungen AB|Hype Fastigheter AB|Peter och Sofi Förvaltning AB|Peter & Stefan Invest AB
Mätkungen AB,5568284938,3,48,Mai; Stefan Mattias Sverre,2,1,Peter & Stefan Invest AB|Mätkungen AB
Nybab AB,5565586772,2,53,nan,nan,nan,nan
Bygg & Mark i Norra Halland AB,5567172712,2,57,Pihl; Bengt Robert,2,4,Buera fiber ekonomisk förening|Bygg & Mark i Norra Halland AB
Tallbäcken Aktiebolag,5563787083,4,58,Bengtsson; Lars Tommy Stefan,1,1,Tallbäcken Aktiebolag
Lundby Entreprenad AB,5565924718,2,71,Lundby; Karl Mikael,9,13,NMT Bostäder AB|Lundby Entreprenad AB|Brune Kulle Fastighets AB|Bröderna Lundby Bygg AB|TechHouse of Sweden AB|Vallmovägen Fastighets AB|Lundby Holding AB|Luntor AB|Bingevägen Holding AB
Mölndals Bygg i Väst AB,5590124029,2,59,Hult; Rolf Anders,3,1,Åsa Mölndal Holding AB|Hult & Rastborg Fastigheter AB|Mölndals Bygg i Väst AB
Sköld Forsberg Byggkonsult AB,5569062697,4,45,Lukanovic; Bozo,20,2,BCAC Brf Fastighet 2 AB|Sköld Forsberg Byggkonsult AB|BCAC Lägenheter AB|Byggidé Falkenberg AB|BCAC - Hus Förvaltning AB|Sköld Forsberg Sandgatan Fastigheter AB|BCAC 3D AB|BCAC Brf Fastighet 1 AB|Sköld Forsberg Projekt AB|BCAC Brf Fastighet 4 AB|BCAC Brf Fastighet 3 AB|BCAC Brf-ägare 1 AB|Falkenbergsgruppen Fastighets AB|BCAC Brf Holding 3 AB|BCAC Brf Holding 2 AB|BCAC Brf Holding 1 AB|BCAC Brf Holding 4 AB|BCAC Brf-ägare 3 AB|BCAC Brf-ägare 2 AB|B.K. 1101 Invest AB
Link To Link AB,5569896177,4,45,Eneroth; Björn Jonas Rune,1,5,Link To Link AB
Martins Gräv Aktiebolag,5564052776,3,53,Arnudd; Anders Mikael,12,24,Mantum Holding AB|CBL Invest AB|Mantum Special AB|Mantum Entreprenad AB|Hyltebruks Transport Aktiebolag|Mantum Logistics AB|Veddige Åkeriaktiebolag|Martins Gräv Aktiebolag|Mantum Entreprenad i Sverige AB|VÅ Holding AB|Lisette Arnudd AB|Nosign Holding Aktiebolag
Västtak AB,5591756969,3,41,Nilsson; Per Anders,2,1,Västtak AB|PE-NI Holding AB
