company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Grundläggnings och VA Konsult i Stockholm AB,5569453953,4,58,Bohman; Arne Lars Gustaf,4,3,Consote AB|Grundläggnings och VA Konsult i Stockholm AB|Landfjärden Fastigheter AB|Landfjärden Invest AB
Grundläggnings och VA Konsult i Stockholm AB,5569453953,4,58,Bohman; John Arne,4,0,Consote AB|Grundläggnings och VA Konsult i Stockholm AB|Landfjärden Fastigheter AB|Landfjärden Invest AB
CLAESP Bygg & Fastighetstjänst AB,5567538771,2,45,Espinoza Pezoa; Claudio Ariel,1,1,CLAESP Bygg & Fastighetstjänst AB
Nynäs Tak Aktiebolag,5562250646,2,63,Köhler; Lars Henry,10,11,Fogfritt i Nynäshamn AB|Nynäs Tak Entreprenad Stockholm Aktiebolag|Nynäs Tak Entreprenad Norrland Aktiebolag|Pettersson Tak & Bygg i Haninge AB|Nynäs Tak Aktiebolag|Adend Fastighets AB|Mikael K. Köhler & Partner Konsult AB|Domain Escapat Sverige Aktiebolag|Fastigheten Åby 1:155 i Haninge AB|Skorvan AB
AUXEL AB,5569525578,2,34,Sergijenko; Jevgeni,1,0,AUXEL AB
Kuudes Stockholm AB,5590851043,3,50,Danielsson; Jari,1,4,Kuudes Stockholm AB
Herlin Technology AB,5590790845,2,42,Herlin; Björn Sigvard,2,4,Herlin Technology AB|Herlin Finance AB
Kumlin & Stenström Parkett & Golvslipning AB,5591059711,2,30,Kumlin; Alexander Otto,1,1,Kumlin & Stenström Parkett & Golvslipning AB
Arranging Things Stockholm AB,5591860282,4,40,Milberg; Lisa,3,4,Arranging Things Stockholm AB|Lisa Milberg AB|Skanstull Automatfoto AB
Byggproffsen i Nacka AB,5569298747,2,48,Lindman; Filip Erik,2,3,El-Proffsen i Stockholm AB|Byggproffsen i Nacka AB
YouArk AB,5592096472,4,45,Pontén; Nils Olof Mattias,1,2,YouArk AB
Hälsoentreprenad i Närtuna AB,5569711046,2,57,Hellström Hallin; Camilla C E,1,5,Hälsoentreprenad i Närtuna AB
DAHL MPC BYGG AB,5569480469,3,46,Dahl; Catharina,6,9,AcneSpecialisten Sverige AB|DAHL MPC BYGG AB|Stall Små Kusar Handelsbolag|Bokain Sverige AB|Swedskin AB|Farmazea AB
DAHL MPC BYGG AB,5569480469,3,46,Dahl; Marcus,10,7,PIK PAK Logistics UK Filial|DAHL MPC BYGG AB|FaceFocus AB|Stall Små Kusar Handelsbolag|michmel AB|Swedskin AB|Bokain Sverige AB|Beauty nurse Sweden AB|Farmazea AB|PICKPACK SWEDEN AB
Port Mon Tjokk Entreprenad AB,5562845759,2,49,Sandgren; Iris Carina,2,5,Port Mon Tjokk Entreprenad AB|The North Road construction AB
K2 Projektledning AB,5568987795,2,47,Karjalainen; Jan Kennet,1,2,K2 Projektledning AB
Campo Design Lab. AB,5569566556,3,40,Barklin; David Deeweed Markus Gustav,1,2,Campo Design Lab. AB
