company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Niroc Solutions AB,5591412209,2,46,Andersson; Lars Ronnie,2,0,Niroc Holding AB|Niroc Solutions AB
consize AB,5569678138,3,63,Nordin; Leif Görgen,3,5,consize AB|Plåtteamet i Örnsköldsvik AB|EGN Consulting AB
Fiberteam Skandinavien AB,5590919634,6,33,Wallinder; Ulf Mattias,1,2,Fiberteam Skandinavien AB
STC GRÄV OCH GRUND I SVERIGE AB,5590829288,2,44,Schünemann; Mari Helen,3,9,STC GRÄV OCH GRUND I SVERIGE AB|Little Big Rental AB|Tony L Holding AB
DAMAB AB,5568724560,2,43,Olsson; Lars Mikael,1,0,DAMAB AB
Flodin Kör Allt AB,5590688460,2,54,Flodin; Chatrin Elisabeth Christina,2,2,Bil och motor Husum AB|Flodin Kör Allt AB
P L Plåt Aktiebolag,5562962588,2,56,Larsson; Jan Peter,4,7,P L Plåt Aktiebolag|SKJÖLE Elektriska distributionsförening u.p.a.|Jelka Holding AB|P.O.B. Invest AB
Mikael Dahllund Bygg i Höga Kusten AB,5568670250,2,48,Dahllund; Bjarne Mikael,1,0,Mikael Dahllund Bygg i Höga Kusten AB
SAP Energy AB,5591598494,4,47,Nyström; Nils Olov,4,2,SAP Energy AB|Mittvent AB|Sweden Energy i Härnösand AB|Aktiebolaget Fagervik Holding
TPN Totalprojekt Norr AB,5567711287,3,43,Lind; Karl Krister,7,3,Sundsvalls Byggarna AB|TPN Totalprojekt Norr AB|K Lind Skog|K Lind Holding AB|Lifa AB|Totalprojekt Sverige AB|MidSweden Inventions AB
Njurunda Måleri AB,5567755714,2,58,Brännström; Mats Tommy,3,1,TB Netsales AB|Klövsjö måleri AB|Njurunda Måleri AB
PL Bygg & Entreprenad Sundsvall AB,5591767008,3,48,Lundman; Lars Patrik,5,9,PL Bygg & Fastigheter AB|PL Bygg & Entreprenad Sundsvall AB|Mittbud i Norr AB|BFG Timrå AB|Patrik Lundman Holding AB
MADE Construction i Sundsvall AB,5569406365,2,51,Christensen; Dennis Lefevre,1,3,MADE Construction i Sundsvall AB
Malms Rör i Sundsvall AB,5569081341,2,46,Malm; Carl Stefan,1,1,Malms Rör i Sundsvall AB
Ahla-Vent i Norrland AB,5565327664,2,50,Iggström; John Erik,7,7,Skorstensfejarmästarnas Serviceaktiebolag|Sundsvall Södra Sotningsdistrikt AB|Sundsvalls Hantverksförening Aktiebolag|Ahla-Vent i Norrland AB|Svensk Fastighetsfokus i Sundsvall AB|A.J. Iggström AB|Bostadsrättsföreningen Knoparluspen
Victorious Group AB,5569081986,2,52,Lewander; Lars Kent,2,2,Victorious Group AB|NIMITZ AB
Sjöfast AB,5565109419,2,59,Lindbäck; Karl Thomas,12,29,Mästarna Vision AB|Sjöfast Holding AB|Mästarna Sjölander AB|Mästarna G Persson AB|Mästarna Nord Team AB|Mästarna Öbacka AB|Sjöfast AB|Davidstad Fastigheter AB|Aktiebolaget Villa Marieberg|Tomas Lindbäck Konsult AB|Aland Fastigheter AB|Kajhuset Solsidan Bostadsrättsförening
BJ Brandteknik AB,5591923148,3,56,Lundgren; Bo Torgny,5,3,BJ Brandteknik AB|Amilton AB|GMPL Redovisning AB|High Coast Advertising AB|Nordic Creation AB
VUAB Vägundersökningar Aktiebolag,5565021358,4,59,Arebratt; Leif Uno Stefan,1,2,VUAB Vägundersökningar Aktiebolag
MittTeknik Sverige AB,5567506562,2,50,Wallin; Björn,2,0,Fröna AB|MittTeknik Sverige AB
PowerUp Highcoast Electrics AB,5590049986,4,43,Karlström; Steve Mikael Alexander,2,4,Tassla|PowerUp Highcoast Electrics AB
Mellansvenska Fogfria Golv AB,5591750046,2,41,Ahnström; Bo Ingemar,1,4,Mellansvenska Fogfria Golv AB
Dynabygg AB,5590166202,2,44,Alfjorov; Bob Vladimir,3,2,Dynamic Construction Sweden AB|Dynabygg AB|Dinoh Bo o Byggservice AB
Dynabygg AB,5590166202,2,44,Löfqvist; Nils Johan,8,13,SUND BIRSTA Aktiebolag|Dynabygg AB|Dinamico AB|Dynarent AB|Jours ekonomisk förening|Jours AB|Dynamic Construction Sweden AB|DINOH DYNAMIC GROUP AB
M.Grönlund Golv o Montage AB,5590106935,2,56,Grönlund; Åke Mikael,1,0,M.Grönlund Golv o Montage AB
Byggsmide i Örnsköldsvik AB,5590126149,2,54,Blomdahl; Kent Gösta Andreas,2,0,Nätra Invest AB|Byggsmide i Örnsköldsvik AB
Ersboettan AB,5569862757,3,52,Wahlén; Thord Andreas,179,569,NP3 Fastigheter AB|Fastighets AB Rederihuset|Stadsdel Norr Fastighets AB|NP10 Fastigheter Umeå AB|AB Klar-Invest|M-punkten Fastighets AB|Fastighets AB Cementeriet|NP8 Fastigheter Sundsvall AB|NP10 Fastigheter Luleå AB|Ingarvsbacken Fastigheter AB|Hågesta Fastighets AB|Moorland Fastigheter Luleå AB|Fastighets AB Åkdonet|NP13 Fastigheter Kiruna AB|NP13 Fastigheter Väst AB|Företagscentrum i Gällivare AB|NP10 Fastigheter Ljusnan AB|Förfast AB|NP11 Fastigheter Luleå AB|Separatorn Fastighets AB|NP13 Städet 2 Karlstad AB|Logistikfastigheter Borlänge AB|Prästskeden Fastigheter AB|Fastighets AB Flamman|Birsta Centrum Aktiebolag|Cederlöfs Fastighets AB|Nordbågen Förvaltning AB|Fastighets AB Björnjägaren 3|Hotellfastigheter Dalecarlia AB|Nordman Fastigheter AB|Busken Fastigheter i Östersund AB|Gross Fastigheter Norrland AB|NP1 Fredriksskans AB|NP9 Fastigheter Motorlagret AB|Smidesgatan Fastighets AB|NP13 Fastigheter Bollnäs AB|Timmerlasset Fastighets AB|Fastighets AB Lärlingsvägen|NP10 Fastigheter Sundsvall AB|NP8 Fastigheter Planeraren 9 AB|Sörby Urfjäll 29:1 AB|Fastighets AB Behållaren|NordicPortalen AB|Fastighets AB SigRök|Stora Tuna Fastighets AB|Hemsta 12:6 och 12:21 AB|NP13 Fastigheter Skellefteå AB|NP13 Fastigheter Syd AB|Söderhamn Tönnebro 1:5 AB|NP9 Fastigheter Bielke AB|Kolvägen Fastighets AB|NP13 Fastigheter Terminalen 10 AB|NP13 Fastigheter Hedkärr AB|Ersboettan AB|Gålnäs Fastighets AB|Gävle Företagshotell AB|NP14 Bussgaragen AB|Falun Riset 4 AB|Ljusta Sundsvall 7:9 AB|Treenighetens Fastighets AB|Familjehuset Umeå AB|Norrtoppen AB|Kiamit Fastighets AB|Företagaren 30 Aktiebolag|Hälsinggårdens Industrifastigheter AB|NP13 Fastigheter Hissmontören 2 AB|NP9 Fastigheter Vivstamon 1:17 AB|NP13 Fastigheter Umeå AB|Myrod Fastigheter AB|NP10 Haparanda Björka AB|Näringen 14:4 Fastighets AB|NP13 Fastigheter Hemlingby AB|Kumo Kajens Fastighets AB|NP13 Fastigheter Skövde AB|Hågesta Trygghetsboende AB|NP9 Fastigheter Vandringsmannen 2 AB|NP10 Teknikern AB|Fastighets AB NP1 Besiktningsvägen|NP10 Fastigheter Sollefteå AB|Beretta Fastigheter AB|Hagkvist Fastighet AB|NP13 Nyckelblomman AB|Engros Fastighets AB|NP13 Fastigheter Motala AB|NP10 Klockartorpet AB|NP10 Lunstavägen AB|Odenskog Industrifastigheter AB|NP1 Pumpstationen 2 AB|Sundsvall Högom 3:155 AB|Fastighets AB Borlänge Släggan 2|Bosvedjan Centrum Förvaltning AB|JMLT Fastighets Aktiebolag|NP13 Fastigheter Klingsåg AB|NP1 Fastigheter Utmeland AB|Fastigheten Sundsvall Vävskeden 6 AB|Rikthyveln 1 AB|NP9 Fastigheter Porsen AB|Simple Self Storage Sundsvall AB|NP14 Skellefteå Sture 12 AB|Sandviken Eldaren 13 AB|Cisitalia fastigheter AB|Fastighets AB GustaFlottaren|Ångsalt Fastigheter AB|Monte Fastighets AB|NP13 Fastigheter Birsta AB|Torvalla Förvaltning AB|Beretta Logistikfastigheter AB|NP1 Fastigheter Utmarken i Gävle AB|NP10 Fastigheter Ilanda AB|NP13 Fastigheter Gävle AB|NP10 Vägv 2 Fastigheter AB|NP9 Fastigheter Skellefteå Sture 13 AB|NP10 Ilandadotter AB|Fastigheten Sundsvall Sköns Prästbord 2:6 AB|NP1 Fastigheter Hemlingby 49:30 AB|Marmolada i Luleå AB|NP10 Fastigheter BP 1 AB|NP9 Fastigheter Brynäs 34:12 AB|Nordiska Lantbruksfastigheter AB|NP1 Fastigheter Sandviken Blixten 5 AB|NP14 Svarvaren AB|MJE Fastigheter AB|NP13 Fastigheter Härnösand 2 AB|Övermo Förvaltning AB|Daldansen 3 AB|Högom AB|Årvältsvägens Fastighets AB|NP9 Fastigheter Gradsågen AB|Tin Fastighets AB|NP1 Fastigheter Slagan 6 AB|NP13 Fastigheter Härnösand AB|NP9 Fastigheter Gräsälgen AB|NP13 Fastigheter Luleå 2 AB|NP13 Fastigheter Spärren 2 AB|NP1 Slagsvärdet 5 AB|Turisten 1 Borlänge AB|Bergsåker 5:18 AB|Älghoven Fastigheter i Sundsvall AB|NP13 Fastigheter Nollplanet 8 AB|Sörgren Fastighets AB|Jonels AB|NP2 Förvaltning AB|Kinema Sverige AB|NP13 Busterud AB|Fastighets TRV Gävle AB|NP9 Fastigheter Köpstaden AB|NP3 Projekt AB|NP14 Härdsmidet AB|Fastighetsaktiebolaget Sigurd-Sierra|NP5 Förvaltning AB|NP8 Förvaltning AB|NP3 Förvaltning AB|Åre Östra Fastigheter AB|Industrifastigheter i Timrå AB|NP3 Gräsälgen 2 AB|NP14 Brädgården AB|NP13 Städet 2 Holding AB|Fastighets AB Jämtjägaren|NP7 Förvaltning AB|NP4 Förvaltning AB|NP11 Förvaltning AB|NP9 Förvaltning AB|NP12 Förvaltning AB|NP10 Fastigheter Nyrälsen AB|Skellefteå Rondellen 2 AB|NALYD Fastigheter AB|NALYD Förvaltning AB|NALYD Holding AB|NALYD Projekt AB|NP1 Pinnpojken AB|NP14 Förvaltning AB|NP10 Förvaltning AB|NP6 Förvaltning AB|NP3 Buskåker AB|NP1 Förvaltning AB|NP13 Förvaltning AB|Fastighets AB Tor|Härdsmidet Holding AB|Sigurd-Sierra Kommanditdelägare AB
Ånge Elektriska AB,5562307370,3,65,Gustin; Bengt Greger,3,3,Ånge Elektriska AB|Ånge GÅ Aktiebolag|AQ1 Scandinavian AB
IE Golv & Kakel AB,5590842844,4,31,Häggström; Erik Johan,4,0,IE Golv & Kakel AB|Rörmokarn Staffan Svensson AB|Penny Lake Fastigheter AB|Westermarks Holding AB
IE Golv & Kakel AB,5590842844,4,31,Anundsson; Isak Olof,1,0,IE Golv & Kakel AB
Sundsvalls byggnadsvård AB,5569694572,2,52,Nyberg; Doloris Marita,1,0,Sundsvalls byggnadsvård AB
Sundsvalls byggnadsvård AB,5569694572,2,52,Nyberg; Johan Patrik,1,0,Sundsvalls byggnadsvård AB
Sundsvalls Bygg & design AB,5590895164,4,33,Hansson; Johan Patrik,4,0,FYRTUM bygg o inredning|HANSSONS VEDSPISAR BYGG & DESIGN|Sundsvalls Bygg & design AB|Hanssonsvedspisar Bygg & Design AB
Nordbygg i Norrland AB,5566239660,2,52,Bengtsson; Sven-Johnny,1,4,Nordbygg i Norrland AB
PQ Teknik & Alltjänst i Härnösand AB,5568264336,3,45,Palmquist; Lars Erik Johan,2,1,Bostadsrättsföreningen Telegrafen|PQ Teknik & Alltjänst i Härnösand AB
AB MB Sten & Mark,5568919038,3,34,Rehnman; Kjell Mikael,1,1,AB MB Sten & Mark
AB MB Sten & Mark,5568919038,3,34,Vedin; Björn Inge,1,1,AB MB Sten & Mark
Åvt Mitt AB,5565813036,2,59,Pallin; Karl Tomas,1,1,Åvt Mitt AB
Nybergs Bygg i Härnösand AB,5568352677,2,47,Nyberg; Olof Marcus,1,2,Nybergs Bygg i Härnösand AB
Norells Mark & Bygg AB,5567224729,2,55,Norell; Johan Erik,11,13,Markförädlingar i Norrland Aktiebolag|Gabioner Sweden AB|Norells Mark & Bygg AB|Tifab AB|Prowash 365 AB|Skinnåsen Fastigheter AB|Lipa Lommen AB|Norells Konsult Sundsvall AB|Skinnåsen Förvaltning Aktiebolag|Jovial Entreprenad AB|Kunskapsbanken Sverige AB
Golvtjänst Timrå AB,5565331708,2,62,Sundberg; Jan Anders,2,6,Jannes Golvslip Aktiebolag|Golvtjänst Timrå AB
SA Recycling AB,5569698680,2,54,Karlsson; Sören Ingvar,4,5,SA Recycling AB|Bygg Recycling i Sverige AB|Maskinuthyrning i Sundsvall AB|Kano Gruppen AB
Mitt Rör AB,5569306581,3,48,Lundberg; Sven Bernt Peter,1,1,Mitt Rör AB
BRICK Since 2012 SWEDEN AB,5569037459,3,45,Flodman; Ulf Johnny,11,16,BJ Bygg & Installation AB|North Sweden Construction AB|BJ Installationsteknik AB|BJ Brandteknik AB|Örnsköldsviks Strand City Hotel AB|BRICK Since 2012 SWEDEN AB|Chateau Camp Training AB|3G Service AB|ASHOJ AB|BJ Real Estate AB|High Coast Advertising AB
Bygg & Anläggnings Projekt in Sweden AB,5568908965,2,56,Lagergren; Anders Stefan,2,1,Bygg & Anläggnings Projekt in Sweden AB|A L BYGGKONSULTER HANDELSBOLAG
PLB Projektledning Bygg Aktiebolag,5562826452,2,50,Olsson; Peter Christoffer,2,0,PLB Fastigheter Sundsvall Handelsbolag|PLB Projektledning Bygg Aktiebolag
Kallins Gräv och Traktor Aktiebolag,5564498417,3,37,Kallin; Sven Emil Simon,1,0,Kallins Gräv och Traktor Aktiebolag
Imnäs elektriska AB,5591288575,2,49,Karlsson; Kjell Christer,2,1,Imnäs BBQ|Imnäs elektriska AB
MittSverige EL och Kraft AB,5591711915,2,34,Nilsson; Hans Stefan,3,1,MittSverige EL och Kraft AB|MittSverige EL|Liden Fibernät Ekonomisk förening
Bert Perssons Elmontage AB,5566199484,2,64,Persson; Bert Erik,2,7,Bert Perssons Elmontage AB|Bostadsrättsförening Sadeln i Sundsvall
Sjöléns El & Larm AB,5565838843,2,63,Sjölén; Ulf Stefan,1,2,Sjöléns El & Larm AB
Utemiljögruppen i Sundsvall AB,5567571988,3,54,Emanuelz; Stefan,3,1,Birsta padelcenter AB|HSMA i Sundsvall AB|Utemiljögruppen i Sundsvall AB
Sundsvalls Byggbyrå AB,5591210835,2,50,Demerin Luik; Michelle,1,2,Sundsvalls Byggbyrå AB
VPM ENERGI AB,5568994494,2,45,Mücke; Vesleper,1,1,VPM ENERGI AB
DTC Sundsvall AB,5591452353,2,42,Marchant; Jamie Michael,1,0,DTC Sundsvall AB
DTC Sundsvall AB,5591452353,2,42,Sander; Handre,2,2,DTC Sundsvall AB|Dynamic Timber Craft Sundsvall
MD Projekt AB,5569283467,4,51,Dahl; Gerd Pia Ewalena,1,0,MD Projekt AB
MD Projekt AB,5569283467,4,51,Dahl; Johan Magnus,1,0,MD Projekt AB
Team Eriksson Transport&Entreprenad AB,5591687040,2,25,Eriksson; Carl Lukas,2,1,Team Eriksson Transport&Entreprenad AB|Lukas Erikssons Bil&Transport
Metallkonstnären i Sverige AB,5566103999,2,36,El Heich; Abdallah,2,1,Metallkonstnären i Sverige AB|Svenssons Entreprenad i Bunkeflostrand Aktiebolag
BIDECON AB,5590291224,3,44,Israelsson; Rolf Börje Mikael,1,1,BIDECON AB
Projektkonsult i Sundsvall AB,5568027618,3,57,Svenbrink; Stig Per,3,8,Bostadsrättsföreningen Apollo|Byggbolaget i Sundsvall AB|Projektkonsult i Sundsvall AB
Igruppen Lindström AB,5590348735,2,52,Lindström; Maximilian Hjalmar,1,0,Igruppen Lindström AB
J.Viberg AB Elektriska,5565556528,2,37,Viberg; Jan Nils Håkan,2,0,J.Viberg AB Elektriska|Team Jan Viberg Elektriska
CTService AB,5569631764,2,51,Tjernström; Lars Christian,1,1,CTService AB
Minell Konsult AB,5569752883,2,52,Minell; Erik Gustaf,1,1,Minell Konsult AB
Solfagra Elektriska AB,5591322556,2,54,Rung; Björn Sune Anders,1,1,Solfagra Elektriska AB
Södergårdens Mätteknik AB,5569313397,2,51,Nylund; Tommy Håkan,1,1,Södergårdens Mätteknik AB
Stadsutveckling i Sundsvall AB,5591357370,4,51,Albecker; Lars Jonas,2,6,Riksorganisationen Sveriges Centrumutvecklare;    Kävlinge kommun; Ekonomisk förening|Stadsutveckling i Sundsvall AB
Mittvent AB,5591241160,3,37,Kajaus; Marko Jaakko Henrik,1,0,Mittvent AB
Sundsvalls-BLIXTEN AB,5565313201,2,57,Lundqvist; Bengt Urban,1,3,Sundsvalls-BLIXTEN AB
Nilssons VVS i Björna AB,5568760655,3,43,Nilsson; Seth Östen,2,0,Nilssons VVS i Björna AB|Nilssons VVS
Nilssons VVS i Björna AB,5568760655,3,43,Nilsson; Karl Markus,2,0,Nilssons VVS i Björna AB|KMN inredning
JSLS Holding AB,5566728167,2,63,Söderström; Bo Jörgen,5,25,DeltaNordic AB|DeltaNordic Sweden AB|SWG Produktion AB|JSLS Holding AB|SWG Scandinavian Wall Group AB
JPW VVS & FASTIGHETSTEKNIK AB,5592060072,3,35,Persson; Lars Johan,1,0,JPW VVS & FASTIGHETSTEKNIK AB
JPW VVS & FASTIGHETSTEKNIK AB,5592060072,3,35,Olsson; Pontus Vilhelm,1,0,JPW VVS & FASTIGHETSTEKNIK AB
Mánadis Vildhäst AB,5569272916,2,51,Jonsson; Linda Desiree,3,7,Mánadis Vildhäst AB|Månadis|Rimfaxe
Norlanders Elektriska AB,5590013040,2,37,Norlander; David Morgan,2,2,Gerdins Invest AB|Norlanders Elektriska AB
Agardh Bygg AB,5569467078,2,43,Agardh; Nils Vilhelm,2,8,Agardhs Hundsport AB|Agardh Bygg AB
WIGRENS Glas & Bygg AB,5590664073,2,56,Vigren; Lars Robert,2,4,HW Fastigheter i Örnsköldsvik AB|WIGRENS Glas & Bygg AB
T.T. Kran o Maskin AB,5567852966,3,57,Nilsson; Ulf Tommy,5,1,Essö Rental i Sundsvall AB|T.T. Kran o Maskin AB|Nilsson & Sjöberg Maskinentreprenad AB|T.N. Maskin & Entreprenad i Sundsvall AB|T.N. Holding i Sundsvall AB
Niclas Svenssons vvs och värmepumpar AB,5591230676,2,46,Kallin Svensson; Niclas Alexander,1,1,Niclas Svenssons vvs och värmepumpar AB
ReyCon AB,5591980643,2,65,Reynberg; Bo Roger,1,0,ReyCon AB
Magnus Westman Maskin AB,5568571151,2,63,Westman; Lars Magnus Nikanor,1,1,Magnus Westman Maskin AB
Alnö Design & Produktion AB,5562246370,3,49,Björkwall; Emelie Cecilia,4,4,Björkwalls Fastigheter AB|Alnö Design & Produktion AB|Stadsparaden AB|Xcited AB
Alnö Design & Produktion AB,5562246370,3,49,Gadelius; Julia Elisabeth,4,19,Björkwalls Fastigheter AB|Alnö Design & Produktion AB|Stadsparaden AB|Xcited AB
Projektledare Sören Westberg AB,5566905484,2,56,Westberg; Erik Sören,1,0,Projektledare Sören Westberg AB
VATTENMANNEN Hans Åslin AB,5567716443,2,52,Åslin; Erik Jonas,1,2,VATTENMANNEN Hans Åslin AB
PTA Support AB,5591122675,2,60,Åberg; Per Tony,1,2,PTA Support AB
Norrlands Kabeltryckare AB,5592029390,4,41,Bostedt; Bengt Rainer,3,1,Norrlands Kabeltryckare AB|Bostedt's Ställverk & Service AB|Bostedt's stv & service
Norrlands Kabeltryckare AB,5592029390,4,41,Knapp; Linus Peter,3,1,Norrlands Kabeltryckare AB|Hennans Byaråd Ekonomisk förening|Knappens HighVoltage AB
Gillark Design Aktiebolag,5562935535,2,69,Gillgren; Hans Olof,1,4,Gillark Design Aktiebolag
El o Fastighet i Kramfors AB,5569042962,2,48,Jonsson; Lars Peter,2,0,Maria Ludvigsson Invest AB|El o Fastighet i Kramfors AB
Rubenssons Mark Aktiebolag,5564007937,4,59,Rubensson; Ola Andreas,4,5,Rubcon AB|Mark & Byggkonsult Emil Rubensson AB|Rubenssons Mark Aktiebolag|TWR Utveckling AB
Rubenssons Mark Aktiebolag,5564007937,4,59,Rubensson; Johan Emil,3,1,Rubcon AB|Mark & Byggkonsult Emil Rubensson AB|Rubenssons Mark Aktiebolag
Welado AB,5592035587,4,51,Paasikivi; Henry Herman,1,4,Welado AB
Axlings Golv AB,5567893424,3,35,Axling; Ove Per-Erik,1,1,Axlings Golv AB
HK Bygg & Fastighet AB,5590757554,2,55,Deaibes; Fadi Georges,6,8,Hairstuff i Sverige AB|HK Bygg & Fastighet AB|Independa AB|High Coast Haircare AB|Bromsvägsexan i Örnsköldsvik AB|ALESE AB
Svensk Takförvaltning AB,5568453756,3,46,Johansson; Per Kristoffer,38,33,JK Building Invest AB|Ljusta Aktivitet Centrum Ekonomisk förening|NSI Invest & Co AB|NSI Invest AB|NSI Invest Drottningskeppet AB|NSI Invest Notarien 5 AB|NSI Invest i Härnösand 2 AB|NSI Invest Riddaren 1 AB|NSI Invest i Härnösand AB|NSI invest Härnösandsbörsen 1 AB|TW Äland i Härnösand AB|NSI Invest förrådet 4 AB|Hilbrand DB 2001 AB|NSI Invest Härnösandsriddaren AB|NSI Invest Kandidaten 3 AB|NSI Invest Tullen AB|NSI Invest B11 AB|Svensk Takförvaltning AB|NSI Invest i Nacksta AB|NSI invest Härnösandsskepparna AB|IKP Nord Laboratorium AB|TW Guldsmeden i Härnösand AB|NSI Invest Härnösandvinstocken AB|NSI Invest i Trollhättan AB|NSI invest Härnösandsadjunkten AB|NSI Invest Björken 15 AB|Arbetsledaren Fastighet AB|NSI Invest i Lessebo AB|NSI Invest B12 AB|EMIVA Aktiebolag|Hilbrand DB 1001 AB|Färsta Holding AB|Färsta Förvaltning AB|Hilbrand Invest AB|VIC Fastigheter AB|Härnösandsskeppet AB|Bergeforsen Hus1 AB|NSI Invest Rävsund AB
VictoriaMarcus Form AB,5591571152,2,40,Sörlin; Victoria Ingrid,1,5,VictoriaMarcus Form AB
Timrå Bygg & Montage AB,5569573461,2,56,Sundin; Kurt Christer,1,0,Timrå Bygg & Montage AB
ROLION AB,5591784888,2,46,Isaev; Eduard Olegovich,2,1,Bygg & Fastighet i Höga Kusten AB|ROLION AB
P.A.C.C.A AB,5591267926,2,53,Johansson; Jan Peter,3,5,Rampere AB|P.A.C.C.A AB|P Johansson Invest AB
Ravesta El&Bygg AB,5566401963,2,55,Jäärf; Erik Magnus,1,0,Ravesta El&Bygg AB
Sundvalls Bygg & El AB,5568755044,3,52,Sundvall; Karl Erik,1,1,Sundvalls Bygg & El AB
Sjölins Maskin AB,5590613070,4,43,Sjölin; Ulf Magnus,4,1,MS Hallmontage AB|Sjölins Maskin AB|M.SJÖLIN & CO AB|Michael Sjölin AB
Centrumbygg Sundsvall AB,5591049522,4,49,Svedin; Hans Olof,2,5,Centrumbygg Sundsvall AB|Butik Vitamin Sundsvall AB
Scandinavian Craftsman Alliance AB,5590832704,2,34,Josefsson; Karl Andreas,1,0,Scandinavian Craftsman Alliance AB
Fönster & Bygg i Ö-vik AB,5568042260,2,65,Lindgren; John Owe Anders,1,0,Fönster & Bygg i Ö-vik AB
Björn Smittsarve AB,5569499501,2,61,Smittsarve; Björn Erik Krister,1,5,Björn Smittsarve AB
DM Signalteknik AB,5591614028,2,56,Holm; Mats Gunnar,2,1,DM Signalteknik AB|DG SIGNALTEKNIK AB
Alliel sverige AB,5591354856,2,42,Nyström; Jens Arne Tobias,1,3,Alliel sverige AB
PJ Industri & Hus Service AB,5590376033,2,55,Ponkala; Pekka Juhani,3,2,P & P Service AB|PakkaPaos thaimat AB|PJ Industri & Hus Service AB
Aronsson dyk & byggtjänster Aktiebolag,5569160533,2,51,Aronsson; Johan Sören,1,0,Aronsson dyk & byggtjänster Aktiebolag
Enride AB,5569770430,2,43,Wikner; August Andreas,3,2,Infraskog Sverige AB|Enride AB|Wikner Lantbrukstjänst
Odén Investment AB,5591421135,3,49,Odén; Karl Erik Alfred,4,1,EB Ställningsmontage AB|Odén Ställningsmontage AB|Odén Investment AB|EB Material och Fastigheter AB
Pzs Bygghantverk AB,5591723167,2,44,Zsaludek; Paul Istvan Anders,4,3,Pzs Bygghantverk AB|Byggnadsvård i Jämtlands och                      Västernorrlands län ekonomisk förening|Lifepulse AB
Förvaltnings Aktiebolag Volymen,5563924785,2,64,Nässbjer; Jan Erik,3,7,Tänndalens Mark & Byggnads AB|Förvaltnings Aktiebolag Volymen|Volymen Holding AB
ES Alltra AB,5591467187,2,34,Ljungkvist; Emma Maria,1,2,ES Alltra AB
Teknikkonsult i norr AB,5591301576,2,67,Strandberg; Klas Olof,3,3,Antonov Engineering AB|Teknikkonsult i norr AB|Bygdsam Gideälvdal ek. för.
AB Qbenmåleri,5568507262,2,37,Åsell; Johan Bertil Gunnar,1,5,AB Qbenmåleri
Skidstahus Mark & Exploatering AB,5590130596,4,54,Svanholm; Leif Arvid,6,6,Skidsta Hus Produktions AB|Skidsta Hus AB|Skidstahus Mark & Exploatering AB|Ullånger's Resurs Centra Ekonomisk förening|Kinahallen AB|Svanholm Invest i Höga kusten AB
Elektro-El i Härnösand Aktiebolag,5569987158,2,75,Westerlund; Bengt Alvar,1,5,Elektro-El i Härnösand Aktiebolag
Luxzio Kakel Design AB,5592099278,2,35,Friend; Wayne Maserati,1,1,Luxzio Kakel Design AB
Lindgrens bygg team AB,5569355737,2,28,Lindgren; Stig Tommy,2,3,Lindgrens bygg team AB|Dokument 24 AB
Lindgrens bygg team AB,5569355737,2,28,Råbom; Ida Matilda,1,0,Lindgrens bygg team AB
NollSexNoll Bygg AB,5591858963,2,29,Dahlberg; Kimmie Elias,1,0,NollSexNoll Bygg AB
Norrlands Stenimpregnering AB,5567610224,2,65,Sjölin; John Stefan,1,3,Norrlands Stenimpregnering AB
Bo Anderssons Rör Aktiebolag,5563088243,1,63,Andersson; Bo Kaarlo,1,2,Bo Anderssons Rör Aktiebolag
Sundsvallshem Fastigheter&Förvaltning AB,5566976337,3,57,Söderlind; Sigrid Sara Victoria,1,1,Sundsvallshem Fastigheter&Förvaltning AB
BLOOMINGHOME AB,5591160519,2,50,Nagy Sveder; Ilona Catarina,1,3,BLOOMINGHOME AB
Norrlands Bygg & Kakel AB,5591643464,3,52,Muthu Hemå; Andreas Charmillen,2,1,Skinclinic Sundsvall AB|Norrlands Bygg & Kakel AB
Flexbert AB,5567724926,2,61,Boork; Bert Erik Arnold,6,15,Momenta i Bergeforsen Aktiebolag|Momenta International AB|Kneefree AB|Flexbert AB|Samsystem Sverige AB|Regencia AB
Rebetsky kommunikation och design AB,5591740526,2,43,Kempe; Ida Linda Charlotte,2,2,Företagarna i Sundsvall Aktivitetsbolag AB|Rebetsky kommunikation och design AB
Rebetsky kommunikation och design AB,5591740526,2,43,Kempe; Björn Johan,1,0,Rebetsky kommunikation och design AB
Pettersson Eriksson Innovation & Utveckling AB,5590568407,4,41,Pettersson; Dan,1,0,Pettersson Eriksson Innovation & Utveckling AB
Byggkonsulter; Rosbin & Andersson Aktiebolag,5564893658,3,47,Rosbin; Josef,2,3,Rosbin Invest AB|Byggkonsulter; Rosbin & Andersson Aktiebolag
IMEK Sweden AB,5568784580,2,48,Strömberg; Johan Olof Jörgen,2,3,IME Sweden Holding AB|IMEK Sweden AB
Terra Husbyggnadsteknik AB,5565629754,2,65,Lindberg; Eva-Rut Maria Eleonora,2,2,Terra Husbyggnadsteknik AB|LOHAB i Sverige AB
TAB-System Aktiebolag,5564499795,2,79,Bergström; Bert Erik,3,7,Lucksta-Bergenström Industri Aktiebolag|TAB-System Aktiebolag|ADM-Service B-E Bergström
Grundex AB,5569710907,3,43,Joneström; Stefan Alexander,6,2,Desint AB|Grundex AB|Novial Fastigheter AB|Desint Husproduktion AB|Desint Holding AB|Boxus Hus AB
Friskyblue AB,5590966254,3,36,Dahlin; Erik Conny,1,0,Friskyblue AB
