company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
M-Måleri Västerås AB,5568712268,3,42,Lundgren; Per Fredrik,2,0,M-Måleri Västerås AB|Mälar Måleri
StructiCon AB,5591698088,4,48,Hedebratt; Jan Jerry Manfred,2,0,StructiCon AB|Hedebratt Engineering AB
StructiCon AB,5591698088,4,48,Gustafsson; Jan Kristian,3,1,StructiCon AB|GusCorp Construction AB|GusCorp Projektledning AB
HTH Kök Västerås AB,5568425614,3,56,Johansson; Göran Stefan,3,1,ERJO Holding AB|Byggentreprenad i Västerås AB|HTH Kök Västerås AB
Peritus Partners AB,5591241228,3,35,Nosha; Sadri,5,2,Peritus Partners AB|Peritus Konstruktion AB|Peritus Projektledning AB|MIBLE Group AB|Peritus Holding AB
Environment Construction Group Västerås AB,5567339766,3,37,Lind; Leif Daniel,1,0,Environment Construction Group Västerås AB
Bygg & Saneringsgruppen i Mälardalen AB,5569776494,2,52,Nääf; Mats Johan Ivar,2,2,Bygg & Saneringsgruppen i Mälardalen AB|Bygg-; rivning och stålkonsulten i Arboga
Västerås kakel & byggservice AB,5569203119,2,61,Wikström; Per Tommy,1,6,Västerås kakel & byggservice AB
Cebratic Consulting i Westerås AB,5568866155,2,56,Bode; Jan Micael Waldemar,5,6,Cebratic Consulting i Westerås AB|Etableringskonsulterna i Mälardalen AB|Eccomex Aktiebolag|Bode Kompaniet AB
Lemaco Bygg AB,5567746028,3,50,Ekendahl; Lars Inge,2,2,Optimal Montage i Mälardalen AB|Lemaco Bygg AB
ELBOLAGET C ANDERSSON & CO Aktiebolag,5564373131,2,47,Westman; Henry Stefan,4,0,Fridhems Elektriska AB|ELBOLAGET C ANDERSSON & CO Aktiebolag|SAE Fastigheter AB|FE Holding AB
Park & Charge i Sverige AB,5567763692,2,69,Hjort; Lars Roland,12,10,Nätstations Alliansen AB|HM Power Metering AB|ProTrol AB|HM Power Sweden AB|HM Power AB|Park & Charge i Sverige AB|Mälar Kraftservice AB|HM Power LOFA AB|Nätstationsfastigheter i Västerås AB|Christina Hjort Redovisning AB|LC Hjort AB|Nätstationer HD AB
Linus Englund måleri AB,5569250367,3,60,Englund; Per Håkan,1,3,Linus Englund måleri AB
Linus Englund måleri AB,5569250367,3,60,Englund; Linus Per Gunnar,1,0,Linus Englund måleri AB
KRP Entreprenad AB,5591156178,3,24,Pynnönen; Kim Alexander,2,1,BP Rental AB|KRP Entreprenad AB
KRP Entreprenad AB,5591156178,3,24,Pynnönen; Robin Alexis,2,0,BP Rental AB|KRP Entreprenad AB
Gren Consulting AB,5590306469,2,38,Gren; Mats Nils Erik,1,1,Gren Consulting AB
SP VVS AB,5591637490,2,31,Pasto; Sebastian Matias,1,2,SP VVS AB
DK Ställning & Säkerhet AB,5590767736,2,35,Karlsson Hietala; Daniel Mattias,2,0,DK Ställning & Säkerhet AB|DK ställningsmontage
IH Entreprenad AB,5591319578,2,56,Hjälmeby; Lars Göran,4,1,Intressanta Hus Sverige AB|IH Produktion AB|IH Entreprenad AB|Intressanta Hus Sverige Holding AB
Stockholm Demolering AB,5591177109,3,33,Leveilä; Marko Tuomas Henrik,2,0,Rivtema Fastighetsservice AB|Stockholm Demolering AB
Stockholm Demolering AB,5591177109,3,33,Cecko; Edgaras,2,1,Rivtema Fastighetsservice AB|Stockholm Demolering AB
M.Å Entreprenad AB,5569587842,2,38,Åkerman; Martin Torsten,1,4,M.Å Entreprenad AB
Sigtuna Byggkonsult AB,5569857419,2,48,Pour Esmaeili; Jan Viljo Stefan,3,10,SRPE Entreprenad AB|Sigtuna Byggkonsult AB|Sigtuna Bo AB
Hansson & Vrethed AB,5567318489,4,50,Öberg; Johan Arne,6,1,Örebro Byggstatik Aktiebolag|Jodacon Engineering AB|Hansson & Vrethed AB|Bostadsrättsföreningen Palladium; Katrineholm|Ingenjörsfirma Johan Öberg AB|HVAB Group AB
Leadcon AB,5569946352,2,39,Andersson; Sten Jakop,2,0,Leadcon AB|Jakop Andersson förvaltning AB
Öhmans Lyftservice Aktiebolag,5565417317,2,64,Öhman; Per Håkan,1,0,Öhmans Lyftservice Aktiebolag
PG Brand & Arbetsmiljö AB,5590974381,2,46,Wikhult; Pär Gunnar,2,0,Anna Hildingsson Properties AB|PG Brand & Arbetsmiljö AB
Ambraeltec AB,5592020431,4,48,Karlsson; Glenn Erik,2,4,Ambraeltec AB|T-LOGY AB
Vent Rensarn i Västerås AB,5568380603,2,40,Ryd; Dennis Lennart,1,1,Vent Rensarn i Västerås AB
Svea fasad & måleri AB,5569300923,2,49,Lindgren; Clas Erik,2,2,Siri Kommanditbolag|Svea fasad & måleri AB
Totallyft i Västerås AB,5591294722,3,46,Johansson; Nils Thomas,8,4,Totalbyggen i Västerås Holding AB|Totalbyggen i Västerås AB|Totallyft i Västerås AB|PT-NA Fastigheter i Västerås AB|Juliana AB|Totalfastigheter i Västerås AB|Pumpstigens Fastighet Holding i Västerås AB|Bostadsrättsföreningen Högis-byn
Hjälmareken Bygg AB,5590699756,3,43,Nyqvist; Martin,7,3,Rådhuset i Arboga AB|Kommunfastigheter i Arboga AB|Arbogabostäder AB|Hjälmareken Bygg AB|Expopall Martin Nyqvist|Primeplace AB|Martin Nyqvist Investment AB
Hjälmareken Bygg AB,5590699756,3,43,Broughton; Ulf Jakob Valdemar,4,2,RealTest Aktiebolag|Hjälmareken Bygg AB|RealTrack Mälardalen AB|WF verksamhets- och organisationsutveckling AB
Bygg & Betong Kompaniet 1 AB,5591436380,3,54,Chamoun; Gabriel,1,4,Bygg & Betong Kompaniet 1 AB
