company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
ED Bygg Sverige AB,5564848918,4,53,Demir; Eddy Edip,30,29,ED Gruppen AB|ED Bygg Sverige AB|Söderstaden I Östergötland AB|Söderköpings Brunn AB|Uthyrning i Norrköping AB|ED Byggteknik AB|Developing Design Sweden AB|Trehörningen AB|Söderköpings Brunn Fastighets AB|Ringdansen Hus 43 AB|Kv Växthuset 1 AB|S. Engelbrekt 11 i Söderköping AB|Blomängen fastighet AB|Kv Korpen 18 AB|S12 Fastighets AB|Kv. Lagberg AB|Blue Clams Holding AB|Sylten i Norrköping Fastighets AB|Söderstaden parkering AB|S. Vågen 1 i Söderköping AB|Villa Carona AB|Kv Sista Dansen 1 AB|Kv Sista dansen projekt AB|Bostadsrättsföreningen Sandtorp i Norrköping|Marinastaden Energy AB|Blå musslor Projekt AB|Blomängen Holding AB|Egendomen Blomängen AB|Kv Söderköping 2:42 AB|Bostadsrättsföreningen Höga Loftet 2
Botrygg Bygg AB,5565026241,2,61,Cocozza; Carl Adam Michael,54,48,Botrygg AB|Botrygg Bygg AB|Botrygg Förvaltningsfastigheter AB|Botrygg Polygonen 2 AB|Hotellägenheter Sverige AB|Botrygg Örebro AB|Botrygg Älvsjö AB|Botrygg Förvaltning AB|Kallerstad Arena AB|Bilpark i Linköping AB|Botrygg Dynamon 5 AB|Botrygg Agronomen AB|Botrygg Arkivfotot 2 AB|Botrygg Lektorshagen AB|Botrygg Bajonetten AB|Initiativet 7E Intressenter AB|Botrygg Låsgången AB|AB Storvreta 3:87|Carpool Sverige AB|Botrygg Fastighetsutveckling AB|Botrygg Småhus AB|BoNest Fastigheter VRN AB|BoNest Roslags-Näsby Holding AB|Botrygg H73 AB|Linköping Alabastern 2 AB|AB Storvreta 46:21|Botrygg Sandtorp AB|Botrygg H80 AB|Botrygg H81 AB|Botrygg Jönköping AB|Linköping Intressenter AB|Botrygg H82 AB|Botrygg Stockholm Län Södra AB|Botrygg Investment AB|Botrygg Projektutveckling 1 AB|Botrygg Ullstämma 5:8 AB|Botrygg Barkarbystaden 1 AB|Botrygg H74 AB|Botrygg Holding 7 AB|Botrygg Holding 8 AB|Botrygg Garvaren AB|Botrygg Gruppen AB|Botrygg Stockholm AB|Jordbro Centrum Utvecklings AB|Botrygg Stockholm Holding AB|Botrygg Stockholm Län Norra AB|Botrygg H71 AB|Botrygg H70 AB|Botrygg Startbanan AB|Storvreta Centrumfastigheter AB|Botrygg H75 AB|15 Tesuhd AB|Botrygg Örebro Holding AB|Botrygg Holding 6 AB
Byggnads Aktiebolaget L E Lundberg,5561892711,5,52,Thyrsson; Jonas Oskar,3,0,Byggnads Aktiebolaget L E Lundberg|Fastighetsaktiebolaget Strömstaden|Byggnadsaktiebolaget Dalkarlen
Sumitomo SHI FW Energi Aktiebolag,5565188769,3,50,Moqvist; Claes Johan,1,0,Sumitomo SHI FW Energi Aktiebolag
Teknikbyggarna i Linköping AB,5566757000,5,61,Hedliden; Carl Anders,10,5,Hedfors i Linköping AB|Teknikbyggarna i Linköping AB|Puts- och Fasadteknik i Linköping AB|Hedliden Fastighets AB|Fastighetsaktiebolaget Pagoden 1|Ekkistan i Linköping AB|Anders Hedliden AB|Hedfors Fastighets AB|Hedliden Intressenter AB|Månberget AB
BC Linköping AB,5561948380,5,54,Aldén; Nils Claes Andreas,6,4,BC Linköping AB|B&C i Linköping AB|Roger & Gunnars Maskinuthyrning Aktiebolag|HUFU AB|Ullevida Storgård AB|HUFU Vallastaden 1 AB
Miljöbyggarna Entreprenad i Linköping Aktiebolag,5564411188,6,54,Westin; Lars Anders Martin,6,2,Miljöbyggarna Linköping AB|Miljöbyggarna Entreprenad Holding i Linköping AB|Miljöbyggarna Entreprenad i Linköping Aktiebolag|Egirs Bygg Aktiebolag|Miljöbyggarna Anläggning i Linköping AB|Egirs Bygg Holding AB
S M Entreprenad Aktiebolag,5561939215,4,55,Nylin; Erik Hjalmar,2,3,Erilarsen förvaltnings AB|S M Entreprenad Aktiebolag
Himmelsta Byggentreprenad AB,5567333512,4,54,Brink; Per Niklas Olof,6,14,Himmelsta Holding i Norrköping AB|Himmelsta Byggentreprenad AB|Bovallen Maskin AB|Bovallens Fastighets AB|Byggentreprenören Fastigheter i Norrköping AB|Norrköpings Byggmästare Förvaltningsaktiebolag
Sandbäckens Rör i Norrköping AB,5565830634,6,47,Eriksson; Leif Robert,4,18,Sandbäckens Rör i Norrköping AB|Videtur AB|Badrumsgrossisten Sverige AB|Robert Eriksson Förvaltning AB
Melander Bygg AB,5568413487,3,50,Ondracek; Patrik Daniel,7,23,Melander Bygg AB|P.D.O. Consulting AB|Viginti Fastighetsutveckling AB|Humilum AB|Parkeringsbolaget Svanen Norrköping AB|Fastigheten Oppebygård Nyköping AB|P.D.O. Förvaltning AB
Asfaltsgruppen Öst AB,5560766403,4,45,Knutsson; Göran Fredrik,3,5,Asfaltsinvest Öst AB|Asfaltsverket Öst AB|Asfaltsgruppen Öst AB
Asfaltsgruppen Öst AB,5560766403,4,45,Carinder; Alfred Oscar,3,3,Asfaltsinvest Öst AB|Asfaltsverket Öst AB|Asfaltsgruppen Öst AB
Ellipsen Bygg AB,5567170963,2,52,Erlandsson; Erik Tomas Natanael,108,110,Erlandsson Holding AB|Erlandsson Bygg i Stockholm AB|Treano Bygg AB|Erlandsson Properties AB|Erlandsson Bygg i Dalarna AB|VBE Byggproduktion AB|Erlandsson Bygg i Uppsala AB|Byggmäster i Mälardalen AB|Ellipsen Bygg AB|Trafiksystem Väst AB|Electroteambolagen i Västsverige AB|Kron & Karlsson Bygg & Mark AB|Västkustens Mark & Asfalt AB|Såg- & Betongborrning i Uddevalla Aktiebolag|Strand i Jönköping AB|Scandi Gruppen Overseas International Aktiebolag|Ockelbo Kabelteknik AB|Nytorps Rör Aktiebolag|Svenska Mark- och Anläggningsgruppen i Stockholm  AB|Byggsnabben i Stockholm AB|Asfalt & Mark i Gävle AB|Allan Eriksson Mark Aktiebolag|Jord & Berg i Kungsbacka AB|Tobbes Schakt AB|Bodeborn Gräv Aktiebolag|Svenska Mark-och Anläggningsbolagen i Syd AB|Skölsta Mark- och Rivningsentreprenader           Aktiebolag|UTK Activ El Aktiebolag|Electroteam i Västsverige AB|SweGrund Aktiebolag|A. Nordbecks Entreprenad Aktiebolag|Lunds Schakt & Planering i Borlänge Aktiebolag|Thyras Aktiebolag|Byggsnabben Aktiebolag|Terrapro AB|Ekängen Bygg & Mark AB|KD EL Service AB|Hörbys JM Entreprenad AB|BL El & Design AB|Byggbolaget i Bergslagen AB|Opalab Relining AB|Lars Johansson & Söner Åkeri i Märsta AB|Westins Maskin AB|Ostkustens Elektriska Aktiebolag|HJ Hydraulik Aktiebolag|ECB Entreprenadcraft AB|Ackevis Miljö El AB|Perssons Schakt i Mitt AB|House Västerås AB|Hälsinge Kulturfastigheter AB|Erlandsson Bolagen i Kungsbacka AB|Anera Fastighets AB|Svenska Mark- och Anläggningsbolagen i Kungsbacka AB|Sten & Markteknik i Jönköping AB|Fastighets AB Gunnilse|CJE Förvaltnings AB|Klousten Fastighets AB|Kabel & Mark i Syd AB|Asfalt & Mark Fastighets i Gävle AB|Fastighets AB Slaktaren|Erlandsson Fastigheter i Västerås AB|Erlandsson Dalafastigheter AB|Tomas Erlandsson Fastighets AB|Ljunghällen Fastighets AB|Effektoptimering Stockholm AB|Fastighets AB Kokosen|Bodén Fastigheter AB|Thyras Fastighets AB|Fastighets AB Stora Gatan|Electroteam i Stockholm AB|Keol Fastigheter i Vislanda AB|Erlandsson Bygg i Bohuslän AB|Förvaltningsaktiebolaget Gassin|Vibyholms Fastigheter AB|Erlandsson Fastigheter i Kungsbacka AB|Erlandsson Fastigheter i Halmstad AB|Pastro AB|Erlandsson Fastigheter i Dalarna AB|AMFI Fastigheter AB|Nytorp Energy Group AB|Erlandsson Bygg i Sörmland AB|Erlandsson Fastigheter i Uppsala AB|Erlandsson Bygg AB|Erlandsson Kontorsfastigheter i Uppsala AB|Frillesås Projektutveckling AB|Erlandsson Projektutveckling i Väst AB|Bostadsrättsföreningen Trampolinen|Fastigheten Rya 4:17 AB|Brion Förvaltnings AB|Villaprojekt i Gävle AB|Hammerö Fastighets AB|Rågelundsfastigheten AB|Bostadsrättsföreningen Språngbrädan|Fastigheten Frillesås 4:10 AB|Erlandsson Invest i Kungsbacka AB|Erlandsson Invest i Sverige AB|Erlandsson Projektutveckling Uppsala AB|House of Nordic Projektutveckling AB|Skölsta Mark Industrifastigheter AB|House ONP 1 AB|Erlandsson Skärfälten AB|Nederled Fastighets AB|Erlandsson Projektutveckling AB|SMA Infrastruktur AB|Magisterstadens Fastighets AB|Brudberget Balltorp Invest AB|Bostadsrättsföreningen Lejonet|Fastighets AB Clinet
Torpheimer System AB,5566823505,2,48,Torpheimer; Lars Göran Ingvar,10,50,Torpheimergruppen AB|Torpheimer System AB|Torpheimer i Norrköping AB|Torpheimer i Stockholm AB|LEFAB; Linköpings El & Fastighetsservice AB|Torpheimer Invest AB|EarWise AB|Ställverksgrabbarna i Norrköping AB|Torpheimer Struktur AB|Torpheimer Svenska AB
Ternstedt Invent AB,5565671152,4,54,Pihl; Nils Richard,10,13,Comfort-kedjan AB|Richard Pihl AB|Ternstedt Invent AB|Comfort Handel Sverige AB|Ternstedt Invent Installationscenter Linköping AB|Comfort e-handel Sverige AB|Comfort Sverige Holding AB|T Invent Holding AB|RP Fastigheter Rimforsa AB|RP Fastigheter AB
Bygg Rosen Aktiebolag,5562581768,3,62,Rosen; Bengt Erik Verner,6,12,Bygg Rosen Aktiebolag|Ställningsbyggarna i Norrköping AB|Bengt Rosen Aktiebolag|KvadratRosen AB|Bygg Rosen Trollebo AB|BJR i Norrköping AB
Kron & Karlsson Bygg & Mark AB,5566471107,4,48,Karlsson; Kent Åke,4,9,Kron & Karlsson Bygg & Mark AB|Tre M Bygg & Fönster AB|Kron & Karlsson Holding AB|Nellus Sverige AB
Stångebro Bygg Aktiebolag,5565517561,5,39,Valtersson; Benny Göran,5,2,Stångebro Bygg Aktiebolag|Ourway Training AB|Sonoffagun Invest AB|Stångebro Förvaltning AB|Alfabetet Padel AB
Lundgrens El-installationer Vikbolandet-Norrköping Aktiebolag,5561156372,4,47,Hermansson; John Fredrik,4,6,Lundgrens El Consulting Aktiebolag|Lundgrens El-installationer Vikbolandet-Norrköping Aktiebolag|Lås & Nycklar i Norrköping Aktiebolag|HF Fastigheter AB
Thormans Entreprenad AB,5567200745,4,49,Corazza; Anders Peter,3,5,Thormans Entreprenad AB|Corrigere Invest AB|Effekto Nordisk Konsult AB
Nordisk Hiss AB,5562455179,3,51,Sundell; Peter Gösta Ingemar,1,3,Nordisk Hiss AB
K A Project AB,5564782208,2,45,Värnelius; Karl Magnus Sture,5,6,K A Project AB|Magnus Värnelius Fastighetsförvaltning AB|Magnus Värnelius|Frebo Fastighets AB|Magnus Värnelius Holding AB
PLW Elteknik AB,5567445829,2,48,Lantz; Robert Roger,6,7,PLW Elteknik AB|PLW Elteknik i Norrköping AB|PLW Antenn & Mediateknik AB|PLW Gruppen AB|PLW Larm & Teleteknik AB|PLW Holding AB
Byggtec i Norrköping AB,5568741044,3,55,Edvardsson; Johan Niclas Ronny,4,8,Byggtec i Norrköping AB|Byggtec Mark & Anläggning i Norrköping AB|Byggtec Maskin i Norrköping AB|Jelab Invest AB
Stångå Rörservice AB,5565830543,4,55,Hagström; Oskar Karl Viktor,1,0,Stångå Rörservice AB
Haga R.O.T. service i Norrköping AB,5565367959,4,59,Torsell; John Henrik,3,6,Haga Rent AB|Norrköpings Rivteknik AB|Haga R.O.T. service i Norrköping AB
Mitta AB,5566766647,3,49,Persberg; Anders Göran,4,8,Mitta AB|GeoFix Aktiebolag|Geoinnovation Sverige AB|Mitta Värdepapper AB
VallaCom AB,5565049607,6,56,Andersson; Lars Peter Göte,7,6,VallaCom AB|APC Elinstallatören Aktiebolag|Boman El & Larmtjänst i Norrköping AB|FTX teknik & service AB|Gunleudd Fastigheter AB|P H Elkonsult AB|Gunleudd Förvaltning AB
Marcussons Entreprenadteknik AB,5567160022,4,40,Marcusson; Jonas Anders Enar,2,3,Marcussons Entreprenadteknik AB|Marcussons Property AB
Almroth Produktion AB,5591275978,2,54,Henriksson; Jens Frederik Lennart,9,6,Almroth Bygg AB|Almroth Produktion AB|Almroth Construction AB|Kvicksilvret Materiel och Uthyrning AB|Bygg och Projektutveckling i Norrköping AB|Arbor Familjeläkare AB|Ostkustens Zoologiska Konservator|Norrköping Kimstad 53:1 AB|Almroth Holding AB
Tjällmo Grävmaskiner Aktiebolag,5563373652,3,43,Karttunen; Kaj Peter,1,1,Tjällmo Grävmaskiner Aktiebolag
Bygg GG i Östergötland AB,5569068330,3,59,Gunnarsson; Dag Gunnar,13,20,Bygg GG i Östergötland AB|Gunnar Gunnarssons Fastighets Aktiebolag|Fastighetsprojekt i Norrköping AB|Byggmästargruppen Interfaber Aktiebolag|Bygg GG i Norrköping Aktiebolag|P Gunnarsson Fastigheter AB|Panare AB|AB Krusbärsbusken 9 i Norrköping|Norrköpings Byggmästare Förvaltningsaktiebolag|Gunnarssons Planeten AB|Abel Becker Fastighets AB|Bygg GG Kommanditbolag|Fastighetsprojekt i Norrköping Holding AB
Bygg GG i Östergötland AB,5569068330,3,59,Sundström; Bo David Kristoffer,5,1,Bygg GG i Östergötland AB|KLS Projektutveckling AB|Bostadsrättsföreningen Arkitekten 5 i Norrköping|Arkitekten 5 i Norrköping Holding AB
Torpheimer i Norrköping AB,5567507982,3,58,Jacobsson; Andreas Mamush Mikael,1,1,Torpheimer i Norrköping AB
Svärtinge Rör & VVS Aktiebolag,5564968823,4,47,Sundell; Bengt Christer,5,2,Svärtinge Rör & VVS Aktiebolag|NVF Norrköpings VVS & Fastighetsservice AB|Svärtinge Rör Isolering AB|IT Welding Sweden AB|Svärtinge VVS Teknik AB
Sandbäckens Rör i Linköping AB,5565830568,5,51,Grönberg; Jari Eino,2,2,Sandbäckens Rör i Linköping AB|Rörproduktion i Linköping AB
VentPartner i Östergötland AB,5564930328,3,49,Kreü; Lars Andréas,3,12,ASOWO AB|VentPartner i Östergötland AB|VentPartner i Närke AB
VentPartner i Östergötland AB,5564930328,3,49,Stralström; Göran Kristoffer,3,5,Kristra AB|Föräldraföreningen Snigeln i Söderköping;         Ekonomisk förening|VentPartner i Östergötland AB
Sandbäckens Sprinkler Mitt AB,5568934508,4,57,Wegler; Styrbjörn,5,3,Sandbäckens Sprinkler Mitt AB|ÖNs Entreprenad AB|Resaro AB|Weglers Förvaltning AB
Norrköping Elektriska East AB,5563566487,2,41,Tankred; Johan Andreas,10,6,Norrköping Elektriska East AB|GTEL Sverige AB|Norrköpings elektriska i Linköping AB|Norrköpings elektriska i Skåne AB|Aktiebolaget Svensk Elkonstruktion|JTH Elservice AB|Norrköpings elektriska i Nyköping AB|NEAB Gruppen AB|Garantio totalentreprenad AB|Smoke & Fire BBQ AB
FBB Finspångs Brunnsborrning AB,5564317500,4,52,Johansson; Nils Oskar David,9,5,FBB Finspångs Brunnsborrning AB|Borrföretagen i Sverige ekonomisk förening|FBB Maskin AB|Borrföretagen Service i Sverige AB|Svenskt Geoenergicentrum AB|Tillväxt Finspång Ekonomisk förening|FBB Fastigheter AB|Tektonik Nordic AB|FBB Group AB
OMT Management AB,5590721030,3,47,Eriksson; Daniel Andreas,1,2,OMT Management AB
Firma Bygge Golvproffsen Öst AB,5569486052,5,60,Gustafsson; Fredric Gerhard,5,4,Firma Bygge Golvproffsen Öst AB|Dackegatans Fastighetsbolag AB|Firma Bygge Entreprenad Aktiebolag|Fortettre AB|Barijard Invest AB
