company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bergs Låsverkstad Aktiebolag,5561480970,4,45,Berglund; Johan Peter,3,6,Bergs Låsverkstad Aktiebolag|Bergs Lås Aktiebolag|BMP Säkerhet AB
Bergslagens Spårservice AB,5590659875,3,42,Hed; Anders Göran,4,5,Vansbro Teknik AB|Bergslagens Spårservice AB|Hed Future Living AB|E.M.A Group AB
Bergslagens Spårservice AB,5590659875,3,42,Pettersson; Mathias Leif Anders,2,2,Bs Fastigheter & Event AB|Bergslagens Spårservice AB
Bergslagshus i Grythyttan AB,5569674061,2,54,Thörnblom; Erik Lasse,3,11,Thörnblom Invest AB|Bergslagshus i Grythyttan AB|BiLT
Bergslagskyl i Dalarna Aktiebolag,5564635968,3,52,Rudh; Maria Elisabeth,2,6,Bergslagskyl i Dalarna Aktiebolag|Bergslagskyl Holding AB
Berlings Glasmästeri AB,5563506632,2,52,Berling; Astrid Maria,11,6,Ryds Bilglas i Halmstad AB|Berlings Glasmästeri AB|Halmstad Fogservice AB|Berling & Berling AB|Anders Berling AB|Fastighets Aktiebolaget Klammerdamm|Anders Berling Förvaltnings AB|Trönninge 3:31 AB|Falsen 6 AB|Wallbergsingenjören 2 AB|Bladet 6 AB
Bert Bergqvist Bygg Aktiebolag,5564368024,4,52,Berg; Kjell Jimmy,6,4,Bert Bergqvist Bygg Aktiebolag|BeLu Fastighets AB|Von Utfall projektering AB|Bostadsrättsföreningen Kallstrand|LBFS Holding AB|BCL Fastighetsutveckling Aktiebolag
BESAB Teknik AB,5567047955,4,59,Cederholm; Gustav Alexander,7,5,BESAB AB|Besab Holding AB|BESAB Teknik AB|Fastighets AB Gädjen|Fastighets AB V 1:27|BESAB Fastigheter AB|Fastighets AB boende Göteborg
BEST Fastighet AB,5567473862,2,49,Johansson; Bengt Henrik,16,8,BEST Fastighet AB|BEST Entreprenad i Örebro AB|Lannalodge AB|Rangersystem i Sverige AB|BEST Förvaltning AB|Bostadsrättsföreningen Mountain Plaza|Bostadsrättsföreningen Mountain Village|Mountain Plaza AB|BEST Invest i Örebro AB|Bostadsrättsföreningen Granfjällspisten|ÖSBEKO Holding AB|Lakelodge AB|Lanna 462 i Örebro AB|Est i Örebro AB|Bostadsrättsföreningen Terra Nova|Granfjällspisten 1 AB
Betong & Utemiljö i Växjö AB,5568861685,3,42,Hermansson; Sven Henrik,1,1,Betong & Utemiljö i Växjö AB
