company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
EMI Elektromontage Installation AB,5565309951,4,53,Nilsson; Hans Johan Erik,6,0,Joh Sjö AB|Industriautomatik Norrköping Aktiebolag|JohSjö System AB|Joh. Sjö Industri Aktiebolag|EMI Elektromontage Installation AB|Elektromontage Installation i Norrköping AB
Emils & Rasmus Byggtjänst AB,5569856510,4,57,Karlsson; Nils Erik Rasmus,1,1,Emils & Rasmus Byggtjänst AB
EMMA Elinstallationer AB,5569222093,3,43,Ljunggren; Gustav Mattias,1,8,EMMA Elinstallationer AB
Emmaboda El Teknik AB,5561669689,2,57,Rundgren; Peter Albert Ronny,6,21,Emmaboda El Teknik AB|E M J El Teknik AB|Sydsvensk Vitvaruservice AB|Parente Invest AB|Framtiden i Färjestaden AB|Framsidan i Färjestaden AB
EMS Stockholm AB,5590120779,2,37,Aliboev; Ganidzhon,2,0,Express MS Bröderna AB|EMS Stockholm AB
EMS Stockholm AB,5590120779,2,37,Aliboev; Barnohon,2,1,Express MS Bröderna AB|EMS Stockholm AB
Emtic Aktiebolag,5562174713,2,61,Biveteg; Mats Inge,1,1,Emtic Aktiebolag
EMV Pipe Solutions AB,5569708471,2,54,Jönsson; Bo Gerry Mikael,7,18,EMV Stainless AB|Ekeby Rostfria Produktions Aktiebolag|Everlövs Mekaniska Verkstad|EMV Pipe Solutions AB|EMV Utbildning AB|EMV Holding AB|Delikatmat i Everlöv AB
Emvix Förvaltning & Byggservice Aktiebolag,5563312593,2,48,Bergström; Arne Fredrik,3,2,Emvix Förvaltning & Byggservice Aktiebolag|Blackbo Bygg AB|Blackbo Bygg
Emvix Förvaltning & Byggservice Aktiebolag,5563312593,2,48,Lundevall; Karl Fredrik,2,2,Emvix Förvaltning & Byggservice Aktiebolag|Blackbo Bygg AB
Ena OPTO Montage Aktiebolag,5567608764,2,50,Sjöquist; Roland Sune Axel,1,3,Ena OPTO Montage Aktiebolag
Energi isolering sydost AB,5569783458,2,39,Lundin; Peter Roger Andreas,1,1,Energi isolering sydost AB
Energi och Fastighet i Karlstad AB,5565503546,3,41,Hjälmerhag; Ulf Henrik,6,7,Sotning & Ventilation i Karlstad Aktiebolag|Energi och Fastighet i Karlstad AB|Movent AB|Sotning & Ventilation i Säffle-Åmål AB|AB Hjälmerhag Sotning|Aktiebolaget Hjalmerhag
Energi VVS Teknik i Norden AB,5590543533,5,50,Melin; Bengt Peter,2,1,Ola Melin Group AB|Energi VVS Teknik i Norden AB
Energi & Inneklimat i Norrköping AB,5566614417,2,52,Bertilsson; Lars-Olof,3,4,LATH AB|Energi & Inneklimat i Norrköping AB|VBF & Co AB
Energi & Klimatteknik i Tygelsjö AB,5565622858,6,54,Hansson; Daniel Andreas,1,1,Energi & Klimatteknik i Tygelsjö AB
Energi & Miljöteknik i Göteborg AB,5563016293,3,42,Wågestrand; Per Tony Mattias,1,0,Energi & Miljöteknik i Göteborg AB
Energibrunnar Nord AB,5566619036,3,52,Eriksson; Olof Andreas,16,1,Ripan AB|Blomquist Rör AB|Energibrunnar Nord AB|Blomquist Kylteknik AB|Blomquist Ventilation AB|Gävle Brunnsborrning AB|Aktiebolaget Vågbro Rör|Centrumfastigheter Bollnäs AB|Affärsfastigheter Bollnäs AB|Affärshus Säversta AB|Centrumfastigheter 2 Bollnäs AB|Skolfastigheter Bollnäs AB|Affärshus Häggesta AB|Affärshus Ren AB|Ripan Fastigheter AB|Ripan Björnänge Fastigheter AB
Energiengagemang Sverige AB,5568941941,4,51,Skördare; Nils Johan Erik,2,10,Energiengagemang Sverige AB|Messoris AB
Energigrävarna i Uppland AB,5567967178,4,43,Dessle; Marcus Jonny,2,0,Börjebygdens Entreprenad AB|Energigrävarna i Uppland AB
Energihem i Sverige AB,5590068861,2,62,Öqvist; Ted Alf Martin,2,16,Energihem i Sverige AB|Röstbergets stugby AB
Energiinstallation i Sverige AB,5566913538,2,54,Hellqvist; Fredrik Urban,2,5,MyCabin AB|Energiinstallation i Sverige AB
Energioptimering Norden AB,5569068264,3,47,Malmström; Carl Jonas Love,4,5,Energioptimering Norden AB|Masthugget Idrott & Friskvård AB|Malmström Fastighet & Förvaltning AB|M och S Holding AB
Energirör i Borås AB,5564953783,2,33,Sjögren; Peter Georg,2,1,Energirör i Borås AB|LAKESTICK HOLDING AB
EnergiSystem Tellus AB,5568649544,2,39,Nordahl; Knut Andreas Joakim,2,7,Nordahl Group AB|EnergiSystem Tellus AB
Energivärme i Stockholm AB,5566355581,3,46,Alvefjord; Martin Lars Erik,3,10,Lamega Utveckling AB|FMT Installation AB|Energivärme i Stockholm AB
