name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
Hemproffs Umeå AB,5569311813,2,33,5,1
Hemsäkerhet i Västernorrland AB,5569981532,2,43,nan,nan
Hemsö Gransångaren Fastigheter AB,5565912994,2,46,nan,nan
Hendrick's golv Uppsala AB,5569244378,2,52,nan,nan
Henkes Isol & Ventmontage AB,5569548927,2,45,3,6
Henning Nielsen AB,5569444796,2,57,nan,nan
HENNINGS ENTREPRENAD I STOCKHOLM AB,5568461098,2,54,nan,nan
Henningsson & Co Måleri Aktiebolag,5563767564,2,63,nan,nan
Henningssons Elektriska Aktiebolag,5560598855,6,50,2,4
Henrik Andersson Maskingrävning Aktiebolag,5564137783,2,68,nan,nan
Henrik Bergs Gräv & Entreprenad i Karlskoga AB,5590901285,2,64,nan,nan
Henrik Bertilssons El i Väst AB,5562881440,2,36,nan,nan
Henrik Darius Förvaltning AB,5566061023,2,56,nan,nan
Henrik Eriksson Bygg i Söderhamn AB,5567696835,3,48,nan,nan
Henrik Isgrens Bygg AB,5568205313,2,48,nan,nan
Henrik K Produkter AB,5569449506,2,56,nan,nan
Henrik L. Gräv & Entreprenad AB,5567986152,2,42,nan,nan
Henrik Martinsson Måleri & Bygg AB,5569623340,2,43,nan,nan
Henrik Nygren Bygg & Husdesign AB,5567767073,2,60,nan,nan
Henrik Persson Sten & Entreprenad AB,5568516958,2,61,nan,nan
Henrik Rapps Glas AB,5566883921,2,48,8,3
Henrik Sahlsten Bygg AB,5568415177,2,46,1,1
Henrik Sjöö-dala Bygg AB,5567191647,2,43,nan,nan
Henrik Sonesson Entreprenad AB,5568867435,2,49,nan,nan
Henrik Widells Golv i Härnösand AB,5566742697,4,54,1,3
Henrik Zells Bygg AB,5568093941,2,60,nan,nan
Henrik's Plåt & Montage Aktiebolag,5567442230,2,51,3,2
Vvs & Energi i Väst AB,5567711253,3,41,nan,nan
Henrikssons Bygg i Kalix AB,5567087357,2,55,nan,nan
Henrikssons Måleri i Borås AB,5567065643,2,51,1,0
Henrikssons Måleri & Rostskydd i Kristianstad AB,5566481601,2,52,nan,nan
Henry & Janne i Veddige Rör Aktiebolag,5563319267,3,54,nan,nan
Henåns Glasmästeri & Ramaffär Aktiebolag,5562566447,2,40,nan,nan
HERA El & Instrumentservice AB,5564373602,3,47,nan,nan
HERA PROCES & INSTRUMENTSERVICE A/S,5020505524,,,nan,nan
Herab-Terimäc Aktiebolag,5563295806,2,68,2,3
Herb. Hagblom Aktiebolag,5563292076,3,52,5,3
Herbertson Bygg och Fastighetsservice AB,5562931682,3,59,nan,nan
HEREX AB,5568253487,2,57,nan,nan
Herman Eriksson Schaktaktiebolag,5560796434,3,57,1,2
Hermans Maskin Aktiebolag,5562395185,2,33,2,0
Hermansson Natursten AB,5562802289,3,61,nan,nan
Hermanssons Gräv AB,5563673440,2,62,nan,nan
Hermanssons Plåtslageri & Bygg i Nora AB,5567730006,2,46,3,2
Hernandez TakEntreprenad AB,5566472444,2,35,nan,nan
Herners El Aktiebolag,5560872276,2,64,nan,nan
Herr Nilssons Bygg AB,5567190219,2,53,nan,nan
Herrestorps Ängar AB,5590480819,,,nan,nan
Herrljunga Terrazzo Aktiebolag,5566229257,2,57,5,0
Herrängens Plåtslageri Aktiebolag,5564527553,2,59,6,4
Hersby Bygg Aktiebolag,5561388074,3,61,4,5
Hertzmans Byggservice Aktiebolag,5564050242,2,60,nan,nan
Hertzmans Golv AB,5567604300,2,57,nan,nan
Hertzmans Rörservice Aktiebolag,5563428258,2,42,nan,nan
Herwig Måleri Aktiebolag,5562865740,2,65,nan,nan
Hessels Måleri & Golv AB,5568093578,3,62,1,0
Hessle Bygg & Montage AB,5566540430,2,51,nan,nan
Hessleberg Industri AB,5567629570,3,59,nan,nan
Hestasnickeri AB,5567728398,2,61,nan,nan
Heta arbeten Tak & Energi P. Westner AB,5567699706,2,40,4,3
Hewima Bygg AB,5590475835,2,34,nan,nan
Hexus AB,5568097173,3,40,nan,nan
HGC Bygg AB,5565962668,2,59,nan,nan
HGP Bygg & Konsult Aktiebolag,5562951169,2,42,2,0
HGS Entreprenad Mullhyttan AB,5569276776,2,41,nan,nan
HH marin Handelsbolag,9696948703,,,nan,nan
HH Montage AB,5568340250,2,52,nan,nan
HH Reptjänst AB,5568464621,2,38,nan,nan
HIGH Security Stockholm AB,5569583841,3,45,3,6
High Tech Solutions Byggvärme AB,5569904203,2,41,8,2
Hilbertson Entreprenad AB,5569395519,2,37,nan,nan
Hilbrands Maskin AB,5566528799,2,75,nan,nan
Hildebrand Värme och Sanitet AB,5566138615,2,60,nan,nan
Hille Montage & Service AB,5568723042,2,51,nan,nan
Hillerstorps Schakt Aktiebolag,5561972968,5,53,3,1
Hilleviken Förvaltning Aktiebolag,5562745579,2,51,nan,nan
Himlinge Mekaniska AB,5569712481,2,43,nan,nan
Himmelska Tak AB,5590457171,1,38,nan,nan
Hindås Byggservice AB,5567321483,2,51,nan,nan
Hindås Kakel AB,5568910912,2,65,nan,nan
Hindås Transport & Bilservice Aktiebolag,5563834133,2,64,nan,nan
Hinsbo Schakt AB,5567096457,2,55,nan,nan
Hirsikangas Gräv & Schakt Aktiebolag,5568502537,2,46,3,1
Hirvonen & Co. Aktiebolag,5562085760,4,63,nan,nan
Hisingens El-Partners AB,5565077186,3,41,nan,nan
Hisingens Markanläggning AB,5565412235,2,54,nan,nan
Hiss i Skåne AB,5567018782,,,1,1
Hiss & Elservice i Visby Aktiebolag,5565726600,3,48,nan,nan
Hissbyggarna TGS AB,5569020786,2,35,nan,nan
Hisscentralen Närke AB,5566276191,3,46,1,0
Hissdelen Norden AB,5568479918,4,56,nan,nan
Hisselektra Aktiebolag,5565970851,2,61,nan,nan
Hisskontakt Norden AB,5590016142,3,41,nan,nan
HissPartner i Stockholm AB,5566581251,4,50,nan,nan
Hisstech Sverige AB,5569672693,2,41,2,4
Hissteknik i Göteborg AB,5566628409,2,47,3,4
Hiss-Craft i Norrland AB,5567538060,2,53,2,2
Hiss-Craft i Sverige AB,5567345417,,,1,3
Hittarps Bygg AB,5565322087,2,63,nan,nan
HJ Fiberteknik AB,5565546420,2,55,2,3
HJ Petterssons Golv Kakel Aktiebolag,5565716353,2,40,nan,nan
HJ; Trägolvsmästarna i Stockholm Aktiebolag,5565264578,2,50,nan,nan
HJ:s Byggnadsställningar AB,5565141495,2,39,nan,nan
HJ:s Industrimålning Aktiebolag,5568803984,3,40,4,2
Hjalmarssons Rör Aktiebolag,5564128303,2,35,2,3
Hjelms Rör i Smedjebacken AB,5563706158,2,56,2,4
