company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bolaget NQAC AB,5590699921,2,53,Lindqvist; Hans Grim,1,5,Bolaget NQAC AB
OBOS Kärnhem AB,5563122679,7,51,Svensson; Malin Caroline Johanna,40,100,OBOS Sverige AB|Kärnhem Bostadsproduktion AB|Kärnhem Prefab AB|Uzura AB|Kärnhem Svenska AB|Tsushima AB|Kärnhem markprojekt 3 AB|Kärnhem Fastigheter 2 AB|OBOS Kärnhem AB|Kärnhem Utveckling AB|Fastigheten Sollentuna TP 17 AB|MAKE I-node AB|HOVHUS Aktiebolag|Kärnhem markprojekt 6 AB|Kärnhem Skåne AB|Kärnhem Markprojekt 7 AB|Uzura Projektbolag 4 AB|Kärnhem Markprojekt 8 AB|Kärnhem markprojekt 1 AB|Kärnhem markprojekt 2 AB|Kärnhem Gul AB|Uzura Projektbolag 2 AB|Kärnhem Projektbolag 9 AB|KNH Fastigheter AB|KHAF Utveckling AB|KH Kvarter 3 Ekonomisk förening|OBOS Nya Hem AB|Bostadsrättsföreningen Strandvägen i Edsviken 5|Åbysnåret AB|KNH Projektbolag 1 AB|Kams Ormsta AB|Kärnhem markprojekt 5 AB|Kärnhem Sandbyhof Gård AB|Uzura Projektbolag 3 AB|Bostadsrättsföreningen Strandvägen i Edsviken 4|Bostadsrättsföreningen Strandvägen i Edsviken|Kärnhem Edsviken AB|Kärnhem Röd AB|Kärnhem Blå AB|Kärnhem Mitt AB
Jonas Peterssons rör AB,5591235246,3,46,Petersson; Åke Jonas,3,1,Jonas Peterssons rör AB|Minovera Spa i Växjö AB|J P Rör
Jonas Peterssons rör AB,5591235246,3,46,Petersson; Jonas Oscar,1,0,Jonas Peterssons rör AB
Vibracon AB,5566360789,2,50,Frånlund; Per Johan,2,2,Bostadsrättsföreningen ICON Växjö 1|Vibracon AB
Osadal Bygg AB,5590155361,2,54,Schröder; Andree,1,0,Osadal Bygg AB
JEMA SVETS & MONTAGE AB,5568666753,2,41,Andersson; Mattias Arne Daniel,3,5,Zilence AB|JEMA SVETS & MONTAGE AB|Mattias Montage & Design i Växjö
VVS & Fastighetsservice i Växjö AB,5590568191,2,44,Ryd‚n; Maria,1,1,VVS & Fastighetsservice i Växjö AB
Alvesta Färg & Måleri AB,5568283104,5,43,Blomqvist; Thomas Andreas,21,5,Blosson Holding AB|Växjö Färg och Måleri AB|Växjö Färg och Tapetaffär AB|BBM Golv & Bad AB|Växjö Färg & Tapet Aktiebolag|GUNNAR 14 Fastighets AB|All Entreprenad Nordic AB|Färg & Tapetcenter i Älmhult AB|Växjö Glas och Fönsterrenovering AB|Alvesta Färg & Måleri AB|GRIP 13-14 Fastighets AB|Fastighets AB Ljungadal 2|BUBBLO FASTIGHETER AB|Möckelsnäs Fastighets Aktiebolag|Help Service & Handel i Älmhult AB|EriMun Fastighets AB|Elme Fastighets AB|KV 14 Fastighets AB|STO 9 Fastighets AB|ERI 5 Fastighets AB|ERI 7 Fastighets AB
Korbadesign Sweden AB,5590834965,2,43,Buckley; Dale,1,0,Korbadesign Sweden AB
Åby Plåtslageri AB,5567042816,2,64,Josefsson; Jonas Bertil,1,0,Åby Plåtslageri AB
Arnolds Glasmästeri & Ramaffär Aktiebolag,5560868027,3,48,Hjertberg; Henrik Conny,7,5,X2 Technology i Växjö AB|Arnolds Glasmästeri & Ramaffär Aktiebolag|HT Släp Sydost AB|Arnolds Konst & Ramaffär AB|HCH Gruppen AB|Ramverkstaden Online Sweden AB|H&J Import AB
Askab måleri och fastighetsservice AB,5569431223,2,39,Askar; Adam Sanad,1,2,Askab måleri och fastighetsservice AB
Älmhults Skorstenservice AB,5568294168,2,39,Ljungberg; Hans Ingmar Donald,2,1,Hids fastigheter AB|Älmhults Skorstenservice AB
Eriks Golv i Markaryd AB,5569974396,2,31,Edvinsson; Erik Marc Sebastian,1,1,Eriks Golv i Markaryd AB
Uno Fastighetsförvaltning i Växjö AB,5568787476,2,59,Lindahl; Kjell Johan,4,1,Uno Fastighetsförvaltning i Växjö AB|Kontorshotell Skomakaren AB|Snake Invest AB|Ovesen Syd AB
DPR Construction AB,5569536385,3,64,Nielsen; Per Rindom,5,13,Nordic Guarantee Försäkringsaktiebolag|DPR Construction AB|Nielsenconsult AB|KLN Consult AB|PNI Consult AB
Martin Karlsson & Co AB,5567892350,2,42,af Bjur; Martin Thord Erik,2,1,Martin & Co Konstruktion AB|Martin Karlsson & Co AB
Handyman i Älmhult AB,5568084379,3,48,Gustafsson; Per Sigvard,2,3,Handyman i Älmhult AB|Mia Gustafsson idémakare & inredare
Öjaby Måleri AB,5591040455,2,34,Lagerkvist; Kim Stig Donny,1,0,Öjaby Måleri AB
Risinge Entreprenad AB,5569764953,3,48,Svensson; Kim John,1,1,Risinge Entreprenad AB
Bodala Rengöring & Sprutmåleri Aktiebolag,5564050887,3,66,Johansson; Jerry Henric,1,1,Bodala Rengöring & Sprutmåleri Aktiebolag
Ingelstads värmepumpsteknik AB,5591910368,2,45,Johansson; Axel Gottfrid,1,7,Ingelstads värmepumpsteknik AB
Smålands Sprängtjänst AB,5591746580,2,49,Svensson; Per Jonas Marcus,1,1,Smålands Sprängtjänst AB
Flygerås Åkeri & Entreprenad AB,5566969738,2,48,Holm‚r; Leif Andreas,1,3,Flygerås Åkeri & Entreprenad AB
Fasab Holding AB,5567445472,3,61,Claesson; Hans Åke Peter,8,3,Kristen TV i Sverige AB (publ)|Kristen Tidning i Sverige AB|Tryckeriet i Älmhult AB|Kanal 10 Media AB|Kristen TV i Asien AB|Kanal 10 Förlag AB|Fasab Holding AB|EXODUS Holding Aktiebolag
Axhults Trä och Montage AB,5566980198,2,58,Lindberg; Stig Eve Johnny,1,4,Axhults Trä och Montage AB
Byggservice Bygg Ut Norden AB,5591525679,2,51,Lindgren; Siv Ingela Maria,2,0,Byggservice Bygg Ut Norden AB|Bygg ut Norden AB
Byggservice Bygg Ut Norden AB,5591525679,2,51,Lindgren; Tobias Svante Markus,4,2,Byggservice Bygg Ut Norden AB|Bygg ut Norden AB|FPP FASHION PRODUCT PROVIDER AB|Aktiebolaget Lindgrens Kartong
POÈ Interiör AB,5591552046,3,50,Nilsson; Malin Evelina,1,0,POÈ Interiör AB
SkyMap Väst AB,5591543219,2,44,Bengtsson; Jon Karl Olof,8,9,Lindås Gräv Aktiebolag|SkyMap Innovations AB|SkyMap Stockholm AB|MoBeNi Fastighet ett AB|SkyMap Väst AB|Lindås Eneryda Holding AB|InoB AB|MoBeNi Fastighets AB
Mickes Elektriska i Braås AB,5568570625,2,62,Johansson; Nils Waino Micael,1,1,Mickes Elektriska i Braås AB
LAGERQVIST BYGG AB,5591729255,2,44,Lagerqvist; Per Mikael,1,0,LAGERQVIST BYGG AB
VIÖS AB,5567269930,2,55,Stål; Anna Birgitta Helena,1,0,VIÖS AB
WADENSJÖ BYGG AB,5591672653,2,39,Wadensjö; Oskar Daniel Richard,3,1,AB Diesel och damm|WADENSJÖ BYGG AB|WADENSJÖGRUPPEN AB
SCANCAST AB,5566189618,2,66,Danielsson; Jan Olof,1,2,SCANCAST AB
Arkitektform i Alvesta Aktiebolag,5564041563,2,67,Johnsson; Leif Mats Vilhelm,2,2,Arkitektform i Alvesta Aktiebolag|TIMADA Handelsbolag
Circuitus AB,5591658256,3,43,Kreutzer Wesslund; Bo Leif Tommy,3,7,Wesslund Holding AB|IG Passivhus Sverige AB|Circuitus AB
Circuitus AB,5591658256,3,43,Kreutzer Wesslund; Simone,3,7,Wesslund Holding AB|IG Passivhus Sverige AB|Circuitus AB
RESCAN Innovations Sweden AB,5591058218,3,43,Szabo; Istvan,2,5,RESCAN Innovations Sweden AB|IMA Invest Sweden AB
Carlsons Isolering i Växjö AB,5569886798,2,55,Karlsson; Joakim Christer Daniel,1,2,Carlsons Isolering i Växjö AB
Svensk Höjdsäkerhet AB,5591373286,6,43,Björn; Marcus Tony Gustav,3,3,Mr Ronin AB|Familjen Björns AB|Svensk Höjdsäkerhet AB
Byestaden AB,5564340510,2,65,Lindström; Carl Peter Aron,1,0,Byestaden AB
Familjen Björns AB,5569879637,6,43,Björn; Simon Ådi Gustav,4,3,Svensk Höjdsäkerhet AB|Familjen Björns AB|Mr Ronin AB|Bostadsrättsföreningen Biskopshagen på Söder
CPR Konsult AB,5568325186,2,73,Risberg; Claes Åke,4,3,Fotbollsfastigheter i Växjö AB|Småland Padel Society AB|CPR Konsult AB|Småland Padel Society Drift AB
Värends Plattsättning Aktiebolag,5563697217,2,47,Nilsson; Pär-Ola Jörgen,1,1,Värends Plattsättning Aktiebolag
Byggprojektering J-O Björk Aktiebolag,5563049518,2,62,Björk; Evert Jan-Olof,2,2,Konsulterande byggnadsingenjör J-O Björk|Byggprojektering J-O Björk Aktiebolag
Heravi Snickare AB,5591943302,2,42,Teymoori; Faranak,1,0,Heravi Snickare AB
VP Snickare&Service AB,5591380208,2,32,Pönkkä; Tomi Veikko Johannes,2,1,Bostadsrättsföreningen Fjärdingen|VP Snickare&Service AB
Bygg- och Fastighetskonsult i Växjö AB,5590258686,2,80,Gunnarsson; Owe Gustaf Alvar,1,0,Bygg- och Fastighetskonsult i Växjö AB
Sten S. Byggare AB,5567010102,2,61,Samuelsson; Sten Ivan Bertil,1,3,Sten S. Byggare AB
Stubbalycke Trädgård AB,5569790396,2,59,Uppsäll; Johan Daniel,3,5,Handelsplats Älmhult Aktiebolag|Stubbalycke Trädgård AB|Växande Älmhult ekonomisk förening
Majenfors Allservice AB,5568742893,4,43,Lindblad Svensson; Agneta Ann-Louise,2,2,Bäckmans Tvätt AB|Majenfors Allservice AB
Glaskonsult JinMo AB,5569321861,4,36,Aronsson; Jin Mo Börje Johnny,3,2,Glaskonsult JinMo AB|DH-Kapital AB|Växjö Maskin & Fastighet AB
Urban Petterssons Byggservice AB,5568394877,2,57,Pettersson; Urban Karl-Gustaf,2,1,Bostadsrättsföreningen Trädgården i Växjö|Urban Petterssons Byggservice AB
Finnagårdens Snickeri & Möbeltapetsering AB,5568388812,2,55,Sandström; Hans Jörgen Stefan,1,2,Finnagårdens Snickeri & Möbeltapetsering AB
Finnagårdens Snickeri & Möbeltapetsering AB,5568388812,2,55,Sandström; Anne-Marie,1,2,Finnagårdens Snickeri & Möbeltapetsering AB
Unibit Services AB,5569796880,2,32,Ynghagen; Frank Patric,1,1,Unibit Services AB
Unibit Services AB,5569796880,2,32,Ynghagen; Anna Narda Erika,1,2,Unibit Services AB
Creademi Design AB,5569688806,2,35,Stankovic Liljegren; Milan,1,1,Creademi Design AB
AM Byggtjänst & Måleri AB,5569891822,2,37,Malaj; Aranit,1,0,AM Byggtjänst & Måleri AB
Lundhs Mark & Såg AB,5568893548,2,54,Lund; Bengt Anders Peter,1,0,Lundhs Mark & Såg AB
Lundhs Mark & Såg AB,5568893548,2,54,Ek Lund; Susanne Astrid Carina,1,0,Lundhs Mark & Såg AB
Ilax Aktiebolag,5568867260,2,65,Ek; Viveka Andrea,8,15,Alvesta Husvagn & Fritid Aktiebolag|Ekonomen Wiveka Ek AB|Ilax Aktiebolag|SveProff Smidesprodukter Aktiebolag|Ackvisition HL Aktiebolag|Upptäck Utvandrarleden i Småland                  Ekonomisk förening|Ekonomen Wiveka Ek|J.L Fond & Försäkring Kommanditbolag
Camachan Fastighetsutveckling AB,5567770168,2,58,Johansson; Lars Magnus Ove,6,28,Camachan Fastighetsutveckling AB|CAMACHAN Fastigheter AB|Bostadsrättsförening Arkeologen i Helsingborg|Bostadsrättsföreningen Sommarglädjen i Helsingborg|Bostadsrättsföreningen Vårglimten i Helsingborg|CAMACHAN Förvaltning AB
Granflo Fastighetsförvaltning AB,5566298096,3,44,Karlsson; Sven Christer,10,6,Granflo Förvaltning AB|Granflo Bygg Aktiebolag|Combi Plåtslageri & Ventilation i Åseda AB|Hälsans Hus i Uppvidinge AB|Åseda Ishall AB|Granflo Fastighetsförvaltning AB|Pinelake Fastigheter AB|LivingEvent Kronoberg Handelsbolag|Västra Hult Bostäder AB|Granflo Klimat AB
