company_no,company_name
5590914403,Ullångers Plåt AB
5569671513,Bröderna Westin Specialbeläggningar AB
5568358088,Kramfors Värme och Sanitet AB
5562783323,Westins Plattsättning Aktiebolag
5590328752,Andreas Edin Bygg och Entreprenad AB
5591863138,GF Sverige AB
5590839709,Ken1:s Golv & Badrumsteknik AB
5565879441,Topcoat AB
5590126149,Byggsmide i Örnsköldsvik AB
5569111940,Strindins Bygg i Härnösand AB
5564119054,HälledalsHus Aktiebolag
5569024218,Sundsvalls Elmontage AB
5568210388,Pirrås Plattsättning AB
5568097843,Sundsvalls Akustik AB
5591962468,Charles Derek Martin Konsult AB
5569158446,Jan Persson Entreprenad AB
5591103410,Sundsvall Rör & Montage AB
5562826296,Nordlinders Entreprenader Aktiebolag
5590767561,Öbacka transport AB
5561844506,Aktiebolaget Arnäs Glas
5566951850,El & Larm Anläggningar i Norr AB
5569862757,Ersboettan AB
5562307370,Ånge Elektriska AB
5591125157,3T Entreprenad AB
5590158233,Acksson bygg AB
5592107097,Proof electro AB
5569140857,W3 El Sol & Energi AB
5568790264,VVS & Värmeteknik i Timrå Aktiebolag
5568542129,Sjöbergs Bygg & Ställning AB
5590842844,IE Golv & Kakel AB
5567173330,Topgun AB
5568788227,Häggblads El AB
5567411458,Kopparbrickan AB
5568730864,Östavalls Svets & Maskin AB
5569735458,AM Byggarbeten i Örnsköldsvik AB
5569090151,Diamantex AB
5591600746,SF Rör & Värme AB
5569637126,Daniel Wiberg Bygg AB
5590836911,JB Värmepumpservice AB
5568917776,Ekebjörk Måleri AB
5569028995,K.G's Rör i Sundsvall AB
5566763479,Norrlands Gräv & Transport AB
5590171145,INFRAELEKTRO AB
5569308066,VN Elteknik AB
5568111495,TL TAK AB
5563833473,Fränsta El Aktiebolag
5569642431,Rudners Schakt AB
5568802366,Lögdahls Bygg och Måleri AB
5568141088,J&M VVS Sverige AB
5569477473,Industritjänst i Sverige AB
5591472757,Bröderna Roger & Patrik Bygg AB
5590357215,Jenny Westin Interiördesign AB
