company_no,company_name
5561068171,Kynningsrud Nordic Crane AB
5562077940,Mutatis Mutandis Aktiebolag
5561024349,Huurre Sweden Aktiebolag
5591497440,Siemens Mobility Aktiebolag
5567104384,Allbygg i Höganäs AB
5566549944,Asfaltbolaget Sverige AB
5568740616,RO-Gruppen Göteborg AB
5562849090,Roland Anderssons Bygg Aktiebolag
5563863439,Hitachi Rail STS Sweden AB
5590210794,HENT Sverige AB
5566146444,LG Contracting AB
5590115746,Prefabsystem Entreprenad Syd AB
5566848460,Byggkompaniet i Nässjö AB
5569463515,NF Projektering och Förvaltning AB
5563381176,Envac Scandinavia Aktiebolag
5591517544,MOBY Modulärt byggande AB
5561081646,KELLER GRUNDLÄGGNING AB
5561948380,BC Linköping AB
5562452119,Wåhlin Byggare Aktiebolag
5565187506,FRONT RK AB
5564791829,Avarn Security Systems AB
5566925557,NA Bygg Aktiebolag
5569400251,Lapplands Elnät i Jokkmokk AB
5560735283,LR-INSTALLATION AB
5566376967,HTE Produktion AB
5565241337,Jonab Anläggnings AB
5566186259,Contractor Bygg i Skellefteå AB
5567243018,Billström Riemer Andersson Mark AB
5564402534,NOVAB AB
5567191423,Aranäs Projekt AB
5562299676,Dipart AB
5569490948,Team Kjellin Mining & Entreprenad AB
5565747283,FASAB Mark AB
5565443552,Dipart Entreprenad AB
5562422351,BAB Rörtryckning Aktiebolag
5569076200,Fibra AB
5565908547,Backahill AB
5564591369,Linotolgolv AB
5561753178,Moelven Modus AB
5566358841,WBF Invest AB
5567671796,SA konstruktion och bygg Aktiebolag
5564158979,NBI Bygg AB
5564289063,Norrbottens Bergteknik Aktiebolag
7176007990,Upplands Schakt Ek.Förening
5164050568,S-BAU SK s.r.o. Slovakia filial Sweden
5020701503,SKONTO PREFAB
7947003310,Västerbottens Norra Gräv & Schakt                 ekonomiska förening
9697443183,HSB Projekt i Malmö Handelsbolag
5020711676,FAIRWIND A/S
5020705462,BMS HEAVY CRANES A/S
5020734975,UAB LITANA IR KO
5020740659,HENNING LARSEN ARCHITECT A/S
9697695154,JV Marieholmstunneln Handelsbolag
5020532304,AB HANGÖ ELEKTRISKA - HANGON SÄHKÖ OY
5020699970,RUUKKI CONSTRUCTION OY
9697479401,HSB Produktion i Skåne Handelsbolag
9697705938,HSB Produktion i Uppsala Handelsbolag
5164077363,"ThyssenKrupp System Engineering GmbH, Tyskland    Filial"
2220002899,Östra Smålands Kommunalteknikförbund
5164051053,Leonhard Weiss GmbH & Co KG Tyskland filial
9697399757,C Holmqvist Entreprenad Kommanditbolag
9697347426,Bombardier Transportation (Signal) Sweden         Handelsbolag
9940000608,OF Kabeln Kommanditbolag
5591964183,NCC Fräs Aktiebolag
7430003561,Sydschakt ekonomisk förening
5164043167,Skanska SK a.s. Filial Slovakia
5164111188,RV ALCISA filial
9697738392,HSB Produktion i Södermanland Handelsbolag
9697408350,HSB Produktion i Nordvästra Götaland Handelsbolag
5020820550,NORDEC OY
5020788054,NAFTO SP. Z O.O.
5020647425,SLOVWELDING S.R.O.
5020701800,A/S DANSK HALENTREPRISE
5164101254,CASALE PROJECT a.s. Sverige Filial
9697152826,Hills Villastad Kommanditbolag
9697803667,Skanska-MTH Hisingsbron Handelsbolag
5164113119,Cyes Maritime Works Filial
5020485834,SPENO INTERNATIONAL S A
5164073164,"HZ Inova AG (Schweiz), Filial"
5164037979,"Steinmüller Babcock Environment GmbH Tyskland,    Sverige Filial"
9697696442,HSB Produktion i Norr Handelsbolag
5020779376,HENT AS
5164110180,DV SVENSKA Filial
9697796598,FSE 403 Johannelund Handelsbolag
9697886845,Implenia Slussen Kommanditbolag
5164115726,"I.C.D.S. Constructors Sweden, Filial AV I.C.D.S   Constructors Ltd, Ire"
5164117367,LAMBDA SA Filial
7324003495,Östschakt Ekonomisk förening
9697902071,JV Hochtief Implenia Handelsbolag
9697396969,HSB Produktion i Sydost Handelsbolag
5164117078,PEKABEX BET SA Filial
5164094210,Empower PN filial Sweden
5020662531,TERRAFORM GMBH
5020652250,BUTTING  ANLAGENBAU GMBH & CO.KG
5164097882,"Terramare Oy, filial i Sverige"
5567432520,Tuna Förvaltning och Entreprenad AB
5563932838,Bergnäset Ställningsmontage AB
5563361681,SafeTeam i Sverige AB
5565654356,Byggsystem Öresund AB
5564110848,BCA Entreprenad AB
5567920516,VBE Byggproduktion AB
5564411188,Miljöbyggarna Entreprenad i Linköping Aktiebolag
5565150025,Aros Bygg & Förvaltning Aktiebolag
5561429548,Nymans Elektriska Aktiebolag
5562346071,Ohmegi Elektro AB
5567917603,HighScore Entreprenad AB
5568468457,NOCCON AB
