company,id,status,actual_status,remark,default_date
E&U Teknik Aktiebolag,5590012372,aktivt,aktivt,,
Kvarnabol Bygg AB,5590986468,aktivt,aktivt,,
Sjöviks Elfabrik AB,5591936223,aktivt,aktivt,,
Per Jonsson Murning AB,5568623564,aktivt,aktivt,,
FBMAuto AB,5569868010,aktivt,aktivt,,
Boloc AB,5591932974,aktivt,aktivt,,
Solbygden AB,5568536287,aktivt,aktivt,,
Entreprenadkonsult i Jönköping AB,5591697171,aktivt,aktivt,,
Wahlström Design AB,5567588362,aktivt,aktivt,,
Byggnadsfirma Eklöf & Son Aktiebolag,5563790343,aktivt,aktivt,,
Janne Ljungbäcker & Söner AB,5590001532,aktivt,aktivt,,
HB Montage AB,5592119571,aktivt,aktivt,,
HS Support AB,5592030695,aktivt,aktivt,,
Jönköpings Bygg & Entreprenad AB,5590161732,aktivt,aktivt,,
Rill AB,5567343297,aktivt,aktivt,,
DK Montage AB,5568503139,aktivt,aktivt,,
JK Elteknik AB,5565508180,aktivt,aktivt,,
Gislaveds Takservice Aktiebolag,5563499432,aktivt,aktivt,,
Bottnaryds Elinstallationer Aktiebolag,5564171022,aktivt,aktivt,,
Tonnys Entreprenad & Förartjänst AB,5566658414,aktivt,aktivt,,
Jardefors Mark & Entreprenad AB,5590423249,aktivt,aktivt,,
Bygg-Palm i Vetlanda Aktiebolag,5564151511,aktivt,aktivt,,
Tino & Markus El i Jönköping AB,5591461461,aktivt,aktivt,,
Pär Waletts Elektriska AB,5568433071,aktivt,aktivt,,
Fastighetsutveckling Jönköping AB,5567516256,aktivt,aktivt,,
CMB Consulting AB,5591045959,aktivt,aktivt,,
Micael Plattsättare AB,5590302716,aktivt,aktivt,,
P Paulssons Röjbesiktning AB,5569525719,aktivt,aktivt,,
Team Nors Grävservice AB,5590170113,aktivt,aktivt,,
Lindholmens El AB,5561542076,aktivt,aktivt,,
Habo NAC AB,5567361224,aktivt,aktivt,,
TopTak i Värnamo AB,5567332324,aktivt,aktivt,,
Coster mark AB,5591673180,aktivt,aktivt,,
Bogda AB,5590035282,aktivt,aktivt,,
Elspecialisten Leif Svensson AB,5566881354,aktivt,aktivt,,
D.Arvidsson Entreprenad AB,5568971609,aktivt,aktivt,,
Hedenstorp 1:86 AB,5562491737,aktivt,aktivt,,
Q7 Fönstermontage AB,5591147383,aktivt,aktivt,,
CL Interiör AB,5568435779,aktivt,aktivt,,
JoA Service AB,5590967526,aktivt,aktivt,,
Håkentorp Berg Entreprenad AB,5569318933,aktivt,aktivt,,
Edfeldts Allservice AB,5591505432,aktivt,aktivt,,
S-O Anderssons Byggservice Aktiebolag,5562399534,aktivt,aktivt,,
Byggnadsfirma Jarl Pettersson i Habo AB,5565240933,aktivt,aktivt,,
Elgebo entreprenad AB,5567870786,aktivt,aktivt,,
Byggkonsult 88 AB,5568468614,aktivt,aktivt,,
Segelströms Byggkonsult AB,5566779335,aktivt,aktivt,,
Vänsternäs Gård AB,5562923176,aktivt,aktivt,,
Hindsekinds Energi AB,5565248084,aktivt,aktivt,,
Henkes Alltjänst i Örserum AB,5590610639,aktivt,aktivt,,
K. Yxhage Aktiebolag,5561749879,aktivt,aktivt,,
Bröderna Sparv Åkeri Aktiebolag,5562118967,aktivt,aktivt,,
Interweave Mediadesign AB,5565710646,aktivt,aktivt,,
Östbo Takrenovering AB,5590052147,aktivt,aktivt,,
Real Staff R.S AB,5591374672,aktivt,aktivt,,
Skorstensfolket i Småland AB,5567475602,aktivt,aktivt,,
B. Gustafssons Golv i Eksjö Aktiebolag,5563133510,aktivt,aktivt,,
CSE Civil & Structural projekt AB,5562686641,aktivt,aktivt,,
FA Utveckling AB,5567314330,aktivt,aktivt,,
Pelle Fixare AB,5568096696,aktivt,aktivt,,
Uffes Bygg i Habo AB,5569399560,aktivt,aktivt,,
Mattias Hoffrén AB,5567870869,aktivt,aktivt,,
Dan Johanssons Arkitektkontor Aktiebolag,5562571363,aktivt,aktivt,,
I.A.M Bygger AB,5590163100,aktivt,aktivt,,
Strömberg Konsulttjänster AB,5568947740,aktivt,aktivt,,
Personalera Sweden AB,5568645781,aktivt,aktivt,,
