company,id,company_form,county,industry,operation,registered_date
Fast 10 Stockholm AB,5590367511,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Utformning av Byggprojekt,2015-11-24
Morneon Aktiebolag,5563729648,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Puts-; Fasad- & Stuckatörsarbeten,1989-10-02
HL Interiör Aktiebolag,5560424847,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Inredningsarkitekt,1943-05-19
MIKA Safe AB,5569391096,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,2013-08-14
MITHI FÖRVALTNING I STOCKHOLM AB,5567326540,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2007-06-27
Intertek Testing Services NA Sweden AB,5561998062,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1979-04-17
Wallström Montage Aktiebolag,5569730947,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2014-05-28
Energigrund i Stockholm AB,5591561336,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Anläggningsarbeten,2018-04-18
RIMA Projekt AB,5592035793,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2019-04-25
Karlebo Helikopter AB,5562615723,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,1985-06-14
GSVent AB,5590988167,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,2017-01-30
Ramsta Fastighets AB,5567396659,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2007-10-10
Rickard Hederstierna Industridesign AB,5590341219,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Industri- & Produktdesignverksamhet,2015-11-09
Faskunge Bostadsutveckling AB,5591148522,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2017-06-08
Octaed beräkningskonsulter AB,5566429667,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2003-04-07
Setema Trading Aktiebolag,5562423367,Aktiebolag,Skåne län,Bygg-; Design- & Inredningsverksamhet,Takarbeten,1984-05-30
Skedevi Holding AB,5564426459,Aktiebolag,Östergötlands län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1992-02-10
MASSIVET HOLDING AB,5591343719,Aktiebolag,Norrbottens län,Bygg-; Design- & Inredningsverksamhet,Anläggningsarbeten,2017-11-17
Riddersvik kvarter 8 i Hässelby Villastad AB,5590755400,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2016-09-08
Nordisk Målare AB,5591323786,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Måleriarbeten,2017-11-06
Solsken Arkitekt AB,5590500913,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Arkitektverksamhet,2016-02-04
Coromatic Tullinge AB,5563411304,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,1988-12-29
7 Feman Entreprenad AB,5565553632,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggnadssnickeriarbeten,1998-05-11
ELFT Elinstallationer och Fastighetsservice AB,5590973342,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,2017-01-17
JERRON Solutions AB,5591085914,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Måleriarbeten,2017-04-11
ABV Rock Group AB,5562278795,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Anläggningsarbeten,1983-04-20
Bjälkengren Holding AB,5567302558,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2007-05-23
Sveriges ingenjörer (Ingenjörerna) AB,5566908595,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2005-11-21
Täby Installation & Byggteknik Aktiebolag,5565213492,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1995-07-19
FOERM AB,5592294630,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Industri- & Produktdesignverksamhet,2019-12-03
Aktiebolaget Armera i Sverige,5563530129,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1989-04-27
Ålnacken Förvaltning AB,5590465737,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Utformning av Byggprojekt,2016-01-11
Cirk-EL Stockholm AB,5590608674,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,2016-04-28
Bygghem Sverige Fastighets AB,5567074652,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Utformning av Byggprojekt,2006-07-07
MGH Entreprenad Aktiebolag,5564269636,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,1991-06-04
Fibritörerna Sverige AB,5591891402,Aktiebolag,Stockholms län,Fastighetsverksamhet,Fastighetsförvaltning på uppdrag,2019-01-02
Yabado Sweden AB,5592083603,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2019-06-05
BENGT PENSION AB,5568660228,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2011-09-29
Aktiebolaget Rivningshus,5560712522,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Rivning av hus & byggnader,1960-03-11
Norrtälje Bygg- och Marknadsteknik Aktiebolag,5564345774,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1991-10-28
FIERAM AB,5565899654,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2000-05-03
Lidéns bergkonsult AB,5591800965,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2018-11-15
Smcm fastigheter och förvaltning AB,5590772983,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2016-09-22
DP Projektledning AB,5591330096,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2017-11-09
Algotina AB,5590738612,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2016-08-25
Pristine WBN Properties AB,5568400948,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2011-01-31
Brandbergens Tak & Tätskikt AB,5568733165,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggnadssnickeriarbeten,2011-11-26
BokaBoende i Sverige AB,5565669578,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,1999-03-09
